symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,pos_size,spy_regime
META,2023-01-20,2023-01-24,138.32378121434897,142.86006138827122,2.979465131807488,1,Trailing Stop,95,0.33,BULL
PYPL,2023-01-20,2023-01-24,77.65049624326639,79.69377196648615,2.3313749712796596,1,Trailing Stop,95,0.33,BULL
CRM,2023-01-20,2023-01-25,155.4611152063131,152.35189290218685,-2.3,2,Stop Loss,95,0.33,BULL
SNOW,2023-01-26,2023-01-30,150.58999633789062,157.90199584960936,4.555567892645558,1,Trailing Stop,115,0.33,BULL
UBER,2023-01-26,2023-01-30,29.700000762939453,30.372000885009765,1.9626266155146153,1,Trailing Stop,95,0.33,BULL
AMZN,2023-01-26,2023-01-31,99.52999877929688,102.58599853515625,2.7704308181856927,2,Trailing Stop,90,0.33,BULL
LRCX,2023-01-31,2023-02-02,48.32968635975354,52.218614932870025,7.746666274985361,1,Trailing Stop,95,0.33,BULL
AMD,2023-02-01,2023-02-03,84.29000091552734,87.8980026245117,3.9804622965898186,1,Trailing Stop,115,0.33,BULL
MRVL,2023-02-01,2023-02-03,46.4753525054546,47.52769466575826,1.9643016213382156,1,Trailing Stop,110,0.33,BULL
MU,2023-02-08,2023-02-10,60.32271607606901,59.11626175454762,-2.3,1,Stop Loss,105,0.33,BULL
TSM,2023-02-08,2023-02-14,91.62064905953848,93.9035326572577,2.1916693137981564,3,Trailing Stop,95,0.33,BULL
UBER,2023-02-15,2023-02-17,35.599998474121094,34.63523851547241,-3.01,1,Stop Loss,115,0.33,BULL
TSLA,2023-02-23,2023-02-27,196.3300018310547,206.80199890136717,5.033875094303628,1,Trailing Stop,155,0.45,BEAR
ABNB,2023-02-28,2023-03-02,122.375,119.9275,-2.3,1,Stop Loss,150,0.45,BEAR
NVDA,2023-03-03,2023-03-07,23.86710603242782,23.325322725491706,-2.5700000000000003,1,Stop Loss,115,0.45,BEAR
AMAT,2023-03-09,2023-03-13,115.46139688207995,113.15216894443836,-2.3,1,Stop Loss,115,0.45,BEAR
NVDA,2023-03-14,2023-03-16,23.74126688899198,25.20165232771895,5.851253197882634,1,Trailing Stop,110,0.45,BEAR
AMD,2023-03-14,2023-03-16,86.7699966430664,94.7060012817383,8.846023908836969,1,Trailing Stop,95,0.45,BEAR
TSM,2023-03-17,2023-03-21,85.58362048273918,88.49236473474463,3.09871605758031,1,Trailing Stop,85,0.45,BEAR
GE,2023-03-17,2023-03-21,71.30024105819784,72.81703501473928,1.8273335602096663,1,Trailing Stop,95,0.45,BEAR
LRCX,2023-03-21,2023-03-23,49.312390501605584,51.30204375894353,3.734793765013616,1,Trailing Stop,85,0.45,BEAR
AMZN,2023-03-22,2023-03-24,100.43000030517578,97.24636929550171,-3.4699999999999998,1,Stop Loss,85,0.33,BULL
NOW,2023-03-22,2023-03-24,88.09400177001953,85.75070132293702,-2.96,1,Stop Loss,85,0.33,BULL
INTC,2023-03-24,2023-03-28,28.665925923718298,28.084007627466818,-2.33,1,Stop Loss,125,0.45,BEAR
PATH,2023-03-28,2023-03-30,15.760000228881836,17.00799980163574,7.618778899931842,1,Trailing Stop,150,0.33,BULL
AMD,2023-03-30,2023-04-05,96.33999633789062,94.41319641113282,-2.3,3,Stop Loss,125,0.33,BULL
QCOM,2023-04-06,2023-04-11,114.75233834933282,117.12840236429903,1.7706018275051847,1,Trailing Stop,90,0.33,BULL
S,2023-04-12,2023-04-14,17.299999237060547,17.827999114990234,2.7520225503744022,1,Trailing Stop,90,0.33,BULL
MU,2023-04-14,2023-04-19,61.45203546032412,59.878863352539824,-2.8600000000000003,2,Stop Loss,100,0.33,BULL
NOW,2023-04-18,2023-04-20,95.0,93.1,-2.3,1,Stop Loss,110,0.33,BULL
MU,2023-04-21,2023-04-25,59.35819626222533,58.17103233698082,-2.3,1,Stop Loss,130,0.33,BULL
NET,2023-04-21,2023-04-25,63.380001068115234,62.11240104675293,-2.3,1,Stop Loss,115,0.33,BULL
ENPH,2023-04-21,2023-04-26,223.61000061035156,217.59489159393308,-2.99,2,Stop Loss,85,0.33,BULL
BILL,2023-05-02,2023-05-04,76.13999938964844,81.2759979248047,6.445467003319313,1,Trailing Stop,90,0.33,BULL
SNOW,2023-05-04,2023-05-08,155.75,161.69560546875,3.51740319020866,1,Trailing Stop,95,0.45,BEAR
AMZN,2023-05-03,2023-05-09,104.04000091552734,106.24000091552733,1.8145713001158306,3,Trailing Stop,115,0.45,BEAR
LRCX,2023-05-11,2023-05-15,51.550448594221436,53.300446997893005,3.094729728632731,1,Trailing Stop,85,0.33,BULL
KLAC,2023-05-11,2023-05-15,379.25252772606916,392.31880297955024,3.1452704460070837,1,Trailing Stop,85,0.33,BULL
AMD,2023-05-16,2023-05-18,101.79000091552734,106.83799896240235,4.659227823432481,1,Trailing Stop,100,0.33,BULL
COIN,2023-05-16,2023-05-18,57.4900016784668,60.85800094604492,5.558408713248697,1,Trailing Stop,125,0.33,BULL
UBER,2023-05-18,2023-05-22,39.25,40.25,2.247770700636943,1,Trailing Stop,110,0.33,BULL
NVDA,2023-05-25,2023-05-30,37.8585315838267,41.09424437119509,8.24685232628172,1,Trailing Stop,85,0.45,BEAR
SNOW,2023-05-25,2023-05-30,146.86000061035156,157.36400451660157,6.852392661443051,1,Trailing Stop,110,0.45,BEAR
NFLX,2023-05-25,2023-05-30,36.11000061035156,39.630801391601565,9.450209697423,1,Trailing Stop,90,0.45,BEAR
LCID,2023-06-01,2023-06-05,65.5,64.19,-2.3,1,Stop Loss,115,0.33,BULL
MU,2023-06-02,2023-06-06,68.64216753169542,67.2693241810615,-2.3,1,Stop Loss,120,0.33,BULL
TSM,2023-06-02,2023-06-06,94.02589514138661,96.01367585014206,1.8140779417908528,1,Trailing Stop,100,0.33,BULL
AMD,2023-06-06,2023-06-08,124.02999877929688,121.54939880371093,-2.3,1,Stop Loss,125,0.33,BULL
MU,2023-06-07,2023-06-09,65.67919137528013,64.36560754777452,-2.3,1,Stop Loss,135,0.33,BULL
QCOM,2023-06-07,2023-06-09,109.40692497079887,113.38191477707008,3.3332159114536406,1,Trailing Stop,85,0.33,BULL
AMD,2023-06-09,2023-06-13,128.52000427246094,125.94960418701172,-2.3,1,Stop Loss,120,0.33,BULL
