symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,realistic
SHOP,2023-01-06,2023-01-10,37.70000076293945,36.62555074119568,-3.1500000000000004,1,Stop Loss,120,True
DXCM,2023-01-06,2023-01-10,112.45999908447266,109.44607110900878,-2.9800000000000004,1,Stop Loss,115,True
ABNB,2023-01-06,2023-01-10,90.25499725341797,88.14303031768799,-2.6399999999999997,1,Stop Loss,100,True
AVGO,2023-01-10,2023-01-18,54.785249633231885,55.898938846551864,1.73282675679264,4,Trailing Stop,85,True
S,2023-01-13,2023-01-18,14.319999694824219,14.033599700927734,-2.3,1,Stop Loss,95,True
META,2023-01-19,2023-01-23,134.9473578036574,141.19966738641043,4.33314709121601,1,Trailing Stop,95,True
CRM,2023-01-19,2023-01-23,142.5677747073206,153.29343223290545,7.223199087313868,1,Trailing Stop,95,True
PYPL,2023-01-19,2023-01-23,76.83438248025382,78.99578575640162,2.5130678042519152,1,Trailing Stop,95,True
CHWY,2023-01-20,2023-01-24,42.09000015258789,44.05959854125977,4.379492472158559,1,Trailing Stop,165,True
FSLR,2023-01-20,2023-01-24,168.33999633789062,174.06000366210935,3.097889657035264,1,Trailing Stop,160,True
RUN,2023-01-20,2023-01-24,26.165000915527344,26.68899993896484,1.7026715272405573,1,Trailing Stop,160,True
SNOW,2023-01-25,2023-01-27,148.6699981689453,158.79000549316407,6.507027274405835,1,Trailing Stop,115,True
S,2023-01-25,2023-01-27,14.829999923706055,14.533399925231933,-2.3,1,Stop Loss,110,True
UBER,2023-01-25,2023-01-27,30.530000686645508,29.904135672569275,-2.3499999999999996,1,Stop Loss,95,True
CRWD,2023-01-26,2023-01-30,103.61000061035156,101.36166359710693,-2.4699999999999998,1,Stop Loss,100,True
GOOGL,2023-01-26,2023-02-01,96.58026736816271,99.66099970917482,2.889815502651693,3,Trailing Stop,85,True
LRCX,2023-01-30,2023-02-01,46.58814497897361,50.721307754668935,8.571704974646929,1,Trailing Stop,95,True
AMAT,2023-01-31,2023-02-02,109.12737280400113,119.10272384550969,8.841016396889577,1,Trailing Stop,120,True
CFLT,2023-01-31,2023-02-02,23.280000686645508,26.672000503540037,14.270445519103175,1,Trailing Stop,120,True
AMD,2023-01-31,2023-02-02,78.47000122070312,86.84600219726563,10.37414406303415,1,Trailing Stop,115,True
MU,2023-02-01,2023-02-03,62.648874058294886,61.21421484235993,-2.59,1,Stop Loss,100,True
QCOM,2023-02-03,2023-02-07,123.56572488389624,127.38468365808481,2.7906295235000727,1,Trailing Stop,85,True
SNOW,2023-02-07,2023-02-09,161.25999450683594,165.62799987792968,2.408672652787782,1,Trailing Stop,135,True
DDOG,2023-02-07,2023-02-09,81.5199966430664,84.60719757080078,3.487047417643571,1,Trailing Stop,125,True
S,2023-02-07,2023-02-10,16.309999465942383,15.748935484313964,-3.74,2,Stop Loss,125,True
RIVN,2023-02-08,2023-02-10,20.489999771118164,20.0801997756958,-2.3,1,Stop Loss,105,True
SNOW,2023-02-09,2023-02-13,159.66000366210938,163.97999877929686,2.405746597832951,1,Trailing Stop,145,True
S,2023-02-09,2023-02-13,15.65999984741211,15.340535850524903,-2.34,1,Stop Loss,130,True
PYPL,2023-02-10,2023-02-14,80.46399104766627,78.85471122671294,-2.3,1,Stop Loss,160,True
CHWY,2023-02-10,2023-02-14,45.31999969482422,47.78400115966797,5.136896472718106,1,Trailing Stop,140,True
LOW,2023-02-10,2023-02-14,197.3629694459661,201.7534006010651,1.9245465638380648,1,Trailing Stop,110,True
PATH,2023-02-13,2023-02-15,15.100000381469727,16.731999588012695,10.507941492145319,1,Trailing Stop,175,True
SHOP,2023-02-13,2023-02-15,48.75,52.710000610351564,7.8230781750801315,1,Trailing Stop,165,True
NFLX,2023-02-13,2023-02-16,35.755001068115234,35.03990104675293,-2.3,2,Stop Loss,140,True
UBER,2023-02-14,2023-02-16,35.0099983215332,36.385999298095705,3.6303086047741404,1,Trailing Stop,115,True
