entry_date,entry_price,stop_loss,take_profit,sl_pct,tp_pct,pos_size,spy_regime,sector,score,exit_date,pnl_pct,reason,days,symbol
2023-01-05,150.0399932861328,147.03919342041016,158.35220891418456,2.0,5.54,0.45,BEAR,Real_Estate_Office,145,2023-01-06,5.239999999999992,TP,1,NBR
2023-01-05,16.780000686645508,16.444400672912597,17.45120071411133,2.0,4.0,0.45,BEAR,Real_Estate_Office,130,2023-01-06,3.7000000000000117,TP,1,OII
2023-01-05,35.84252662158072,35.1256760891491,37.276227686443946,2.0,4.0,0.45,BEAR,Real_Estate_Office,125,2023-01-06,3.7,TP,1,HAL
2023-01-09,30.049999237060547,29.448999252319336,32.45399917602539,2.0,8.0,0.33,BULL,Utilities_Electric,130,2023-01-10,7.700000000000002,TP,1,ARWR
2023-01-09,55.45000076293945,54.34100074768066,59.88600082397461,2.0,8.0,0.33,BULL,Utilities_Electric,145,2023-01-11,7.7000000000000055,TP,2,DOCU
2023-01-09,38.034232285876634,37.132820980701354,39.5556015773117,2.37,4.0,0.33,BULL,Utilities_Electric,140,2023-01-11,3.6999999999999984,TP,2,HCI
2023-01-11,7.8426231954789225,7.67243827213703,8.15632812329808,2.17,4.0,0.33,BULL,Real_Estate_Office,90,2023-01-12,3.700000000000002,TP,1,PDM
2023-01-17,37.529561071760426,36.77896985032522,40.10408896128319,2.0,6.86,0.33,BULL,Healthcare_Services,125,2023-01-19,-2.299999999999999,SL,2,DELL
2023-01-17,64.19999694824219,62.91599700927734,67.21097680511474,2.0,4.69,0.33,BULL,Healthcare_Services,100,2023-01-19,-2.300000000000005,SL,2,MTSI
2023-01-13,143.3057687120899,140.4396533378481,149.0379994605735,2.0,4.0,0.33,BULL,Consumer_Auto,100,2023-01-23,3.7000000000000046,TP,5,UHS
2023-01-20,43.97024528969019,43.090840383896385,45.865362861675834,2.0,4.31,0.33,BULL,Real_Estate_Data,140,2023-01-23,4.009999999999993,TP,1,ZION
2023-01-20,80.26218611403858,78.65694239175781,83.47267355860014,2.0,4.0,0.33,BULL,Real_Estate_Data,130,2023-01-23,3.700000000000009,TP,1,WTFC
2023-01-24,15.199999809265137,14.895999813079834,16.3673597946167,2.0,7.68,0.33,BULL,Real_Estate_Data,140,2023-01-25,-2.2999999999999976,SL,1,MD
2023-01-24,15.460000038146973,15.150800037384032,16.69680004119873,2.0,8.0,0.33,BULL,Real_Estate_Data,135,2023-01-25,-2.300000000000007,SL,1,LMND
2023-01-26,248.82239469727116,243.84594680332575,258.77529048516203,2.0,4.0,0.33,BULL,Real_Estate_Data,110,2023-01-27,-2.299999999999998,SL,1,HCA
2023-01-26,28.726529890301922,28.151999292495884,30.668443310886335,2.0,6.76,0.33,BULL,Real_Estate_Data,125,2023-01-30,-2.3000000000000007,SL,2,TPG
2023-01-30,99.67923257408552,97.6856479226038,104.77284135862128,2.0,5.11,0.33,BULL,Real_Estate_Data,105,2023-02-01,4.809999999999991,TP,2,TROW
2023-01-31,27.690000534057617,27.136200523376463,28.797600555419923,2.0,4.0,0.33,BULL,Telecom,125,2023-02-01,3.700000000000003,TP,1,ANF
2023-01-25,50.8561997476008,49.83907575264878,53.72448941336548,2.0,5.64,0.33,BULL,Telecom,125,2023-02-02,-2.2999999999999994,SL,6,SLB
2023-02-02,7.900000095367432,7.742000093460083,8.532000102996827,2.0,8.0,0.33,BULL,Telecom,150,2023-02-03,-2.299999999999997,SL,1,BHC
2023-02-06,105.26000213623047,103.15480209350586,112.29137027893066,2.0,6.68,0.33,BULL,Real_Estate_Office,145,2023-02-07,-2.2999999999999954,SL,1,QRVO
2023-02-06,12.886975057479164,12.629235556329581,13.562252550491072,2.0,5.24,0.33,BULL,Real_Estate_Office,140,2023-02-08,4.939999999999999,TP,2,FTI
2023-02-06,169.5,166.10999999999999,179.82254999999998,2.0,6.09,0.33,BULL,Real_Estate_Office,130,2023-02-08,5.789999999999988,TP,2,NBR
2023-02-08,33.97999954223633,33.3003995513916,36.07996351394654,2.0,6.18,0.33,BULL,Real_Estate_Data,145,2023-02-09,-2.300000000000006,SL,1,PENN
2023-02-09,43.58108858357329,42.70946681190183,45.324332126916225,2.0,4.0,0.33,BULL,Real_Estate_Data,120,2023-02-10,-2.2999999999999954,SL,1,CARR
2023-02-10,75.98999786376953,74.47019790649414,80.45820973815918,2.0,5.88,0.33,BULL,Real_Estate_Data,140,2023-02-13,-2.300000000000007,SL,1,OKTA
2023-02-14,15.100000381469727,14.798000373840331,16.308000411987305,2.0,8.0,0.33,BULL,Real_Estate_Data,155,2023-02-15,7.699999999999999,TP,1,PATH
2023-02-09,478.6808252437153,468.6763959961216,508.26330024377694,2.09,6.18,0.33,BULL,Real_Estate_Data,105,2023-02-24,2.294064377580712,MaxHold,10,HUM
2023-02-13,66.95461151743937,65.61551928709059,69.63279597813695,2.0,4.0,0.33,BULL,Telecom,140,2023-02-28,0.8428508382975706,MaxHold,10,APO
