symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score
SHOP,2023-01-06,2023-01-10,37.70000076293945,36.62555074119568,-2.85,1,Stop Loss,120
DXCM,2023-01-06,2023-01-10,112.45999908447266,109.44607110900878,-2.68,1,Stop Loss,115
ABNB,2023-01-06,2023-01-10,90.25499725341797,88.14303031768799,-2.34,1,Stop Loss,100
AVGO,2023-01-10,2023-01-18,54.78525719479668,55.8989372365907,2.032809735353023,4,Trailing Stop,85
S,2023-01-13,2023-01-18,14.319999694824219,14.033599700927734,-2.0,1,Stop Loss,95
META,2023-01-19,2023-01-23,134.9473429258723,141.19966441085342,4.633156421920483,1,Trailing Stop,95
CRM,2023-01-19,2023-01-23,142.56776014967892,153.29345404870145,7.523225368597955,1,Trailing Stop,95
PYPL,2023-01-19,2023-01-23,76.83438248025382,78.99578575640162,2.813067804251915,1,Trailing Stop,95
CHWY,2023-01-20,2023-01-24,42.09000015258789,44.05959854125977,4.679492472158559,1,Trailing Stop,165
FSLR,2023-01-20,2023-01-24,168.33999633789062,174.06000366210935,3.3978896570352637,1,Trailing Stop,160
RUN,2023-01-20,2023-01-24,26.165000915527344,26.68899993896484,2.0026715272405573,1,Trailing Stop,160
SNOW,2023-01-25,2023-01-27,148.6699981689453,158.79000549316407,6.807027274405835,1,Trailing Stop,115
S,2023-01-25,2023-01-27,14.829999923706055,14.533399925231933,-2.0,1,Stop Loss,110
UBER,2023-01-25,2023-01-27,30.530000686645508,29.904135672569275,-2.05,1,Stop Loss,95
CRWD,2023-01-26,2023-01-30,103.61000061035156,101.36166359710693,-2.17,1,Stop Loss,100
GOOGL,2023-01-26,2023-02-01,96.58025989693051,99.66099206522452,3.189815570574911,3,Trailing Stop,85
LRCX,2023-01-30,2023-02-01,46.58814864584279,50.721308488042766,8.87169797971525,1,Trailing Stop,95
AMAT,2023-01-31,2023-02-02,109.12737280400113,119.1027299814436,9.141022019616265,1,Trailing Stop,120
CFLT,2023-01-31,2023-02-02,23.280000686645508,26.672000503540037,14.570445519103176,1,Trailing Stop,120
AMD,2023-01-31,2023-02-02,78.47000122070312,86.84600219726563,10.67414406303415,1,Trailing Stop,115
MU,2023-02-01,2023-02-03,62.64888557304099,61.214226093418354,-2.29,1,Stop Loss,100
QCOM,2023-02-03,2023-02-07,123.56572488389624,127.38470820616287,3.0906493899137426,1,Trailing Stop,85
