symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score
MRVL,2025-08-04,2025-08-06,76.80385089512532,75.26777387722281,-2.0,1,Stop Loss,120
SHOP,2025-08-04,2025-08-06,125.0,150.11199951171875,20.089599609375,1,Trailing Stop,100
ORCL,2025-08-04,2025-08-07,254.2953393839517,248.72627145144315,-2.19,2,Stop Loss,85
MRVL,2025-08-07,2025-08-11,76.09482748992104,79.13862578051152,4.000006821743083,1,Trailing Stop,135
UBER,2025-08-11,2025-08-15,91.19000244140625,93.35800170898438,2.3774528013322116,3,Trailing Stop,115
NET,2025-08-12,2025-08-14,204.0,199.92,-2.0,1,Stop Loss,110
FSLR,2025-08-12,2025-08-14,185.36000061035156,181.65280059814452,-2.0,1,Stop Loss,100
MU,2025-08-14,2025-08-20,123.04320267804947,119.41342819904702,-2.95,3,Stop Loss,95
TSM,2025-08-14,2025-08-19,238.92917035245162,234.15058694540258,-2.0,2,Stop Loss,95
AVGO,2025-08-14,2025-08-18,309.9050647764562,303.7069634809271,-2.0,1,Stop Loss,85
MRVL,2025-08-18,2025-08-20,76.29455314943095,74.76866208644233,-2.0,1,Stop Loss,145
MU,2025-08-18,2025-08-20,122.81344538796367,120.35717648020439,-2.0,1,Stop Loss,125
SHOP,2025-08-18,2025-08-20,143.0,140.14,-2.0,1,Stop Loss,125
ROKU,2025-08-20,2025-08-22,88.13999938964844,94.2040008544922,6.87996540371651,1,Trailing Stop,125
UBER,2025-08-21,2025-08-25,94.45999908447266,96.89199981689453,2.574635566370275,1,Trailing Stop,95
FSLR,2025-08-22,2025-08-26,200.0,196.0,-2.0,1,Stop Loss,130
MU,2025-08-22,2025-08-28,117.55886073202647,121.46683252293336,3.324268172192518,3,Trailing Stop,105
CHWY,2025-08-25,2025-08-27,39.900001525878906,40.747999572753905,2.1253083068806204,1,Trailing Stop,85
UBER,2025-08-26,2025-08-28,96.5,94.44455,-2.13,1,Stop Loss,85
DDOG,2025-08-27,2025-08-29,134.3699951171875,140.8739990234375,4.840369236136161,1,Trailing Stop,125
BILL,2025-08-27,2025-08-29,44.81999969482422,48.836000061035165,8.960286464871865,1,Trailing Stop,115
PATH,2025-08-27,2025-09-02,11.199999809265137,10.964799813270568,-2.1,2,Stop Loss,85
FSLR,2025-08-28,2025-09-02,197.14999389648438,193.2069940185547,-2.0,1,Stop Loss,125
INTC,2025-09-02,2025-09-05,24.09000015258789,24.5859992980957,2.058942060465394,2,Trailing Stop,115
S,2025-09-03,2025-09-05,18.049999237060547,18.60999984741211,3.102496587378018,1,Trailing Stop,120
ENPH,2025-09-03,2025-09-05,37.08000183105469,39.295999145507814,5.97625999197556,1,Trailing Stop,105
CHWY,2025-09-03,2025-09-05,41.150001525878906,42.150001525878906,2.430133567239622,1,Trailing Stop,105
ADI,2025-09-04,2025-09-15,245.35344016951828,240.44637136612792,-2.0,6,Stop Loss,115
NET,2025-09-04,2025-09-08,212.11000061035156,219.2140045166016,3.3492074328452635,1,Trailing Stop,85
SNOW,2025-09-05,2025-09-09,226.83999633789062,222.3031964111328,-2.0,1,Stop Loss,160
CFLT,2025-09-05,2025-09-09,19.200000762939453,19.992000579833984,4.124998882412955,1,Trailing Stop,125
CRM,2025-09-05,2025-09-10,249.9605628679778,244.96135161061827,-2.0,2,Stop Loss,105
CHWY,2025-09-09,2025-09-11,37.11000061035156,36.312135597229,-2.15,1,Stop Loss,110
RUN,2025-09-10,2025-09-15,16.174999237060547,15.851499252319336,-2.0,2,Stop Loss,135
ENPH,2025-09-11,2025-09-15,37.540000915527344,38.403999328613274,2.3015407352549166,1,Trailing Stop,115
ROKU,2025-09-11,2025-09-15,96.30999755859375,94.38379760742187,-2.0,1,Stop Loss,110
PATH,2025-09-11,2025-09-15,11.760000228881836,11.5248002243042,-2.0,1,Stop Loss,85
RUN,2025-09-12,2025-09-16,16.006000518798828,16.77719955444336,4.818186996425305,1,Trailing Stop,160
LCID,2025-09-15,2025-09-17,19.809999465942383,21.081999588012696,6.421000284513652,1,Trailing Stop,145
SNOW,2025-09-15,2025-09-17,221.24000549316406,216.81520538330076,-2.0,1,Stop Loss,125
RIVN,2025-09-15,2025-09-17,13.770000457763672,14.458000183105469,4.996366757227632,1,Trailing Stop,125
SNOW,2025-09-17,2025-09-19,219.9949951171875,229.5510009765625,4.343737844710825,1,Trailing Stop,160
S,2025-09-17,2025-09-19,18.690000534057617,19.070000839233398,2.033174394421925,1,Trailing Stop,95
NOW,2025-09-17,2025-09-22,191.30999755859375,187.21596361083985,-2.14,2,Stop Loss,85
NET,2025-09-18,2025-09-22,224.0,228.8800048828125,2.1785736083984375,1,Trailing Stop,115
ARM,2025-09-22,2025-09-24,145.41000366210938,142.50180358886718,-2.0,1,Stop Loss,135
ARM,2025-09-24,2025-09-26,141.5,138.67,-2.0,1,Stop Loss,135
FSLR,2025-09-24,2025-09-26,214.69000244140625,221.64999999999998,3.2418824721441175,1,Trailing Stop,100
COIN,2025-09-24,2025-09-26,314.3299865722656,308.0433868408203,-2.0,1,Stop Loss,95
RUN,2025-09-25,2025-09-29,16.979999542236328,17.715999603271484,4.334511665942144,1,Trailing Stop,135
NET,2025-09-25,2025-09-30,218.00999450683594,213.6497946166992,-2.0,2,Stop Loss,100
ZS,2025-09-25,2025-09-29,287.0,298.047998046875,3.8494766713850255,1,Trailing Stop,100
NOW,2025-09-26,2025-09-30,188.41200256347656,184.64376251220702,-2.0,1,Stop Loss,120
CFLT,2025-09-26,2025-09-30,19.93000030517578,19.531400299072267,-2.0,1,Stop Loss,120
LULU,2025-09-26,2025-10-06,177.72000122070312,173.7213011932373,-2.25,5,Stop Loss,115
SHOP,2025-09-29,2025-10-01,147.99000549316406,150.99320373535156,2.0293250427146026,1,Trailing Stop,160
FSLR,2025-09-29,2025-10-02,223.69000244140625,231.94599609375,3.690819241913304,2,Trailing Stop,85
BILL,2025-10-01,2025-10-06,54.0,55.24800109863281,2.311113145616319,2,Trailing Stop,95
FSLR,2025-10-01,2025-10-03,230.02000427246094,234.69999694824222,2.0346024645046876,1,Trailing Stop,85
PATH,2025-10-03,2025-10-07,14.1899995803833,15.046000099182127,6.032421029681974,1,Trailing Stop,130
NET,2025-10-06,2025-10-08,222.0,217.56,-2.0,1,Stop Loss,105
KLAC,2025-10-06,2025-10-08,1138.8992490215815,1103.7072622268145,-3.09,1,Stop Loss,95
CRWD,2025-10-06,2025-10-08,497.0,507.4,2.092555331991947,1,Trailing Stop,85
LCID,2025-10-08,2025-10-10,22.239999771118164,21.7951997756958,-2.0,1,Stop Loss,175
TSLA,2025-10-08,2025-10-10,431.80999755859375,423.1737976074219,-2.0,1,Stop Loss,150
LRCX,2025-10-08,2025-10-10,141.51701679635556,138.68667646042846,-2.0,1,Stop Loss,130
NET,2025-10-13,2025-10-15,217.3300018310547,223.4739959716797,2.8270345046061123,1,Trailing Stop,125
SNOW,2025-10-13,2025-10-16,244.0399932861328,238.98836542510986,-2.07,2,Stop Loss,105
CRWD,2025-10-13,2025-10-15,500.0950012207031,488.4927971923828,-2.32,1,Stop Loss,95
TSLA,2025-10-15,2025-10-17,434.7300109863281,426.03541076660156,-2.0,1,Stop Loss,125
ORCL,2025-10-15,2025-10-17,304.79432018486835,297.7535713885979,-2.31,1,Stop Loss,95
DDOG,2025-10-17,2025-10-21,155.14999389648438,158.26599731445313,2.008381270093858,1,Trailing Stop,150
TSLA,2025-10-17,2025-10-22,443.8699951171875,434.01608122558594,-2.22,2,Stop Loss,120
CFLT,2025-10-17,2025-10-24,22.510000228881836,23.35400047302246,3.7494457377113433,4,Trailing Stop,105
PATH,2025-10-20,2025-10-22,15.680000305175781,15.366400299072266,-2.0,1,Stop Loss,175
ARM,2025-10-20,2025-10-22,170.52999877929688,166.19853681030273,-2.54,1,Stop Loss,130
ENPH,2025-10-20,2025-10-22,37.869998931884766,36.908100959014895,-2.54,1,Stop Loss,115
PATH,2025-10-23,2025-10-27,15.5600004196167,17.11200008392334,9.974290632730417,1,Trailing Stop,165
FSLR,2025-10-23,2025-10-27,239.67999267578125,247.58399658203126,3.2977320376264685,1,Trailing Stop,160
RUN,2025-10-23,2025-10-27,20.6299991607666,20.21739917755127,-2.0,1,Stop Loss,135
ROKU,2025-10-27,2025-10-29,99.63999938964844,97.24863940429687,-2.4,1,Stop Loss,130
ADI,2025-10-27,2025-10-29,240.6600004632946,235.8468004540287,-2.0,1,Stop Loss,90
RUN,2025-10-29,2025-10-31,19.8799991607666,20.79599952697754,4.607647911870512,1,Trailing Stop,145
FSLR,2025-10-29,2025-10-31,237.13999938964844,263.16401062011715,10.974112885826678,1,Trailing Stop,110
NOW,2025-10-30,2025-11-03,188.64199829101562,184.86915832519531,-2.0,1,Stop Loss,115
CRM,2025-10-30,2025-11-03,254.38939627545577,259.7886796184894,2.122448271069936,1,Trailing Stop,85
ARM,2025-10-31,2025-11-04,171.3000030517578,167.87400299072266,-2.0,1,Stop Loss,145
TSLA,2025-10-31,2025-11-04,455.989990234375,446.4597994384765,-2.09,1,Stop Loss,105
RIVN,2025-10-31,2025-11-04,13.550000190734863,13.220735186100006,-2.43,1,Stop Loss,100
LRCX,2025-11-03,2025-11-05,155.3742089346946,164.3913649505977,5.803508882026306,1,Trailing Stop,95
INTC,2025-11-05,2025-11-07,38.34000015258789,37.573200149536135,-2.0,1,Stop Loss,160
AVGO,2025-11-05,2025-11-07,359.42227629198584,352.2338307661461,-2.0,1,Stop Loss,145
AMD,2025-11-05,2025-11-07,253.47000122070312,248.40060119628905,-2.0,1,Stop Loss,140
NET,2025-11-07,2025-11-12,238.64999389648438,233.87699401855468,-2.0,2,Stop Loss,150
ZS,2025-11-07,2025-11-11,323.9800109863281,331.4040100097656,2.2914990961435517,1,Trailing Stop,120
AMZN,2025-11-07,2025-11-13,248.33999633789062,243.3731964111328,-2.0,3,Stop Loss,95
ROKU,2025-11-10,2025-11-12,104.55999755859375,107.31199951171875,2.6319835667391107,1,Trailing Stop,145
CAT,2025-11-10,2025-11-13,567.3924431128899,556.044594250632,-2.0,2,Stop Loss,85
FSLR,2025-11-12,2025-11-14,267.5199890136719,262.1695892333984,-2.0,1,Stop Loss,130
LRCX,2025-11-12,2025-11-14,158.62884557167507,155.45626866024156,-2.0,1,Stop Loss,125
AMAT,2025-11-12,2025-11-14,226.94513905664746,222.40623627551452,-2.0,1,Stop Loss,110
MU,2025-11-14,2025-11-18,246.82028920231596,240.0327312492523,-2.75,1,Stop Loss,130
DDOG,2025-11-14,2025-11-18,184.17999267578125,180.49639282226562,-2.0,1,Stop Loss,125
CAT,2025-11-14,2025-11-18,551.3001310030844,540.2741283830227,-2.0,1,Stop Loss,115
FSLR,2025-11-17,2025-11-19,247.0,255.66398925781252,3.507687958628549,1,Trailing Stop,130
RIVN,2025-11-18,2025-11-20,14.829999923706055,15.470000076293946,4.3155775851680085,1,Trailing Stop,125
SBUX,2025-11-21,2025-11-25,84.71368760911533,82.68903047525747,-2.39,1,Stop Loss,85
SBUX,2025-12-02,2025-12-04,84.48516010620251,86.74260454852157,2.672001141361777,1,Trailing Stop,90
TSM,2025-12-02,2025-12-05,291.3933558822439,298.27077584075647,2.3601842045059658,2,Trailing Stop,85
GS,2025-12-02,2025-12-04,812.9500122070312,837.7819946289062,3.0545521925093566,1,Trailing Stop,85
CHWY,2025-12-03,2025-12-08,33.529998779296875,34.58599853515625,3.149417817788299,2,Trailing Stop,95
AVGO,2025-12-03,2025-12-05,379.9529999571057,390.2133812789909,2.7004343492599108,1,Trailing Stop,90
MU,2025-12-05,2025-12-09,243.3916744750837,253.00378932447518,3.949237322978144,1,Trailing Stop,145
INTC,2025-12-05,2025-12-09,41.939998626708984,41.1011986541748,-2.0,1,Stop Loss,120
HD,2025-12-05,2025-12-10,351.95001220703125,344.9110119628906,-2.0,2,Stop Loss,105
COIN,2025-12-08,2025-12-10,270.6300048828125,277.67800292968747,2.6042929164217665,1,Trailing Stop,115
NET,2025-12-08,2025-12-10,205.0050048828125,213.24100341796876,4.017462178479115,1,Trailing Stop,105
TSLA,2025-12-09,2025-12-12,446.07000732421875,459.6220092773437,3.038088580404127,2,Trailing Stop,105
SHOP,2025-12-09,2025-12-11,158.64999389648438,165.7860046386719,4.497958409531117,1,Trailing Stop,100
RIVN,2025-12-09,2025-12-11,17.6299991607666,17.27739917755127,-2.0,1,Stop Loss,100
AMAT,2025-12-15,2025-12-17,259.7900085449219,254.59420837402342,-2.0,1,Stop Loss,105
LRCX,2025-12-15,2025-12-17,164.5,161.21,-2.0,1,Stop Loss,105
META,2025-12-15,2025-12-17,643.5,657.683984375,2.2041933760683796,1,Trailing Stop,90
SHOP,2025-12-16,2025-12-18,166.52999877929688,171.67400512695315,3.0889367593604877,1,Trailing Stop,100
ENPH,2025-12-16,2025-12-18,31.940000534057617,33.41199913024902,4.608636730052064,1,Trailing Stop,90
CRM,2025-12-16,2025-12-22,255.9168879687216,262.8873814999943,2.7237333130296046,3,Trailing Stop,85
FSLR,2025-12-18,2025-12-22,263.4700012207031,281.4859924316406,6.8379667998125875,1,Trailing Stop,150
BILL,2025-12-18,2025-12-22,55.20000076293945,56.80799942016601,2.913041005438081,1,Trailing Stop,125
TXN,2025-12-18,2026-01-05,174.58046334577512,180.27926414776124,3.2642832380958025,9,Trailing Stop,105
ROKU,2025-12-22,2025-12-26,109.0,111.98400268554687,2.73761714270355,2,Trailing Stop,100
ENPH,2025-12-24,2025-12-29,32.86000061035156,33.699999999999996,2.556297547309894,1,Trailing Stop,110
FSLR,2025-12-24,2025-12-29,271.5899963378906,266.1581964111328,-2.0,1,Stop Loss,110
PATH,2025-12-29,2025-12-31,16.639999389648438,16.307199401855467,-2.0,1,Stop Loss,150
RIVN,2025-12-31,2026-01-05,19.780000686645508,19.384400672912598,-2.0,1,Stop Loss,175
LULU,2026-01-02,2026-01-07,211.44000244140625,215.68800048828123,2.0090796433149767,2,Trailing Stop,95
RIVN,2026-01-05,2026-01-07,19.639999389648438,19.247199401855468,-2.0,1,Stop Loss,165
SHOP,2026-01-05,2026-01-07,163.85000610351562,168.41000366210938,2.7830316684351404,1,Trailing Stop,110
NKE,2026-01-08,2026-01-13,65.11000061035156,66.68600158691406,2.420520598661975,2,Trailing Stop,125
SBUX,2026-01-08,2026-01-13,87.78388310423856,89.57234915934386,2.037351267523217,2,Trailing Stop,95
SHOP,2026-01-08,2026-01-12,168.00999450683594,164.6497946166992,-2.0,1,Stop Loss,85
PATH,2026-01-12,2026-01-14,17.469999313354492,16.97210433292389,-2.85,1,Stop Loss,125
SHOP,2026-01-12,2026-01-14,168.0800018310547,164.7184017944336,-2.0,1,Stop Loss,115
NVDA,2026-01-15,2026-01-20,189.0800018310547,185.2984017944336,-2.0,1,Stop Loss,100
CHWY,2026-01-15,2026-01-21,33.0,32.339999999999996,-2.0,2,Stop Loss,95
TXN,2026-01-16,2026-01-21,189.00631330375745,193.68776181302297,2.4768741463899313,1,Trailing Stop,85
LOW,2026-01-21,2026-01-28,277.3699951171875,270.2138492431641,-2.58,4,Stop Loss,110
GOOGL,2026-01-21,2026-01-23,334.45001220703125,327.7610119628906,-2.0,1,Stop Loss,105
ENPH,2026-01-21,2026-01-23,36.939998626708984,41.492000579833984,12.322691181243668,1,Trailing Stop,105
KLAC,2026-01-23,2026-01-27,1512.43994140625,1597.03994140625,5.593610541740901,1,Trailing Stop,105
