symbol,entry_date,score,mom,rsi,ret,days,exit,month
ARM,2025-10-06,100.0,12.275407435660362,52.9194325338915,10.0,3,TARGET_HIT,2025-10
ETN,2025-10-06,100.0,8.73558603461657,56.64407892772919,-7.0,21,STOP_LOSS,2025-10
DLR,2025-10-06,95.0,10.547194031973218,57.47350794224067,-7.0,27,STOP_LOSS,2025-10
GE,2025-10-06,90.0,8.16316399176175,56.402342458241655,0.6404730706460771,30,MAX_HOLD,2025-10
ABBV,2025-10-06,88.0,9.724010867678096,63.80574900212687,-7.0,20,STOP_LOSS,2025-10
IBM,2025-10-13,100.0,8.187637260879109,54.38998923399029,10.0,9,TARGET_HIT,2025-10
ASML,2025-10-13,95.0,13.531651090821455,53.93840248699982,10.0,13,TARGET_HIT,2025-10
AMGN,2025-10-13,92.0,6.559767612895451,54.73487944900494,10.0,17,TARGET_HIT,2025-10
CRWD,2025-10-13,83.0,14.353485602628696,60.050838426061155,10.0,22,TARGET_HIT,2025-10
FSLR,2025-10-13,83.0,9.251204780910326,60.9132770946553,10.0,10,TARGET_HIT,2025-10
DHR,2025-10-20,93.0,9.607346415169188,61.14414197252572,10.0,1,TARGET_HIT,2025-10
MRK,2025-10-20,92.0,7.3631800990766285,57.025270046108794,10.0,19,TARGET_HIT,2025-10
ABBV,2025-10-20,87.0,5.0060385666463985,52.70524559522513,-7.0,10,STOP_LOSS,2025-10
PWR,2025-10-20,83.0,11.319216074976381,63.47684782788101,-7.0,2,STOP_LOSS,2025-10
LMT,2025-10-20,82.0,5.310261766002629,55.79823467331862,-7.0,13,STOP_LOSS,2025-10
DDOG,2025-10-27,95.0,8.508881369790979,53.496497839912955,10.0,8,TARGET_HIT,2025-10
TSM,2025-10-27,90.0,9.157119600909207,52.05373127749236,-7.0,9,STOP_LOSS,2025-10
NUE,2025-10-27,85.0,6.3675960628618995,60.82901344773874,10.0,22,TARGET_HIT,2025-10
AVGO,2025-10-27,83.0,10.414758971095777,60.663785067824385,-7.0,13,STOP_LOSS,2025-10
NVDA,2025-10-27,82.0,5.3010646334804585,56.70060372711611,10.0,2,TARGET_HIT,2025-10
STLD,2025-11-03,88.0,10.124964220994476,60.412312295279555,10.0,21,TARGET_HIT,2025-11
EQIX,2025-11-03,87.0,5.444137323886176,54.90896210426146,-7.0,10,STOP_LOSS,2025-11
HUBS,2025-11-03,80.0,6.6847840719556295,64.99842931230859,-7.0,2,STOP_LOSS,2025-11
PWR,2025-11-03,80.0,5.381028329523945,59.85439638952128,-7.0,9,STOP_LOSS,2025-11
CRM,2025-11-03,78.0,6.33087253163266,68.28897675426366,-7.0,3,STOP_LOSS,2025-11
CSCO,2025-11-10,92.0,6.863323408815909,55.86972581743421,10.0,3,TARGET_HIT,2025-11
WFC,2025-11-10,88.0,9.671422046432978,61.04858539573657,9.721257717673232,30,MAX_HOLD,2025-11
DE,2025-11-10,88.0,8.034434386126659,59.9399737432133,-1.7243245773010205,30,MAX_HOLD,2025-11
UPS,2025-11-10,88.0,11.877855352390073,60.1874590390012,10.0,22,TARGET_HIT,2025-11
FDX,2025-11-10,88.0,10.555196107921198,63.12663427033928,10.0,19,TARGET_HIT,2025-11
F,2025-11-17,93.0,8.665220120614519,47.696616784258254,1.863352243678002,30,MAX_HOLD,2025-11
AMZN,2025-11-17,87.0,7.571138078862877,52.424969457896054,-7.0,4,STOP_LOSS,2025-11
ISRG,2025-11-17,87.0,19.24662911793769,50.635107554511414,3.5942204439575907,30,MAX_HOLD,2025-11
PSX,2025-11-17,87.0,5.732685914266915,57.57992904685223,-5.568972521225518,30,MAX_HOLD,2025-11
MAR,2025-11-17,86.0,8.803854771903838,67.27455951163226,10.0,21,TARGET_HIT,2025-11
BMY,2025-11-24,93.0,10.071441031549037,61.33749936477029,10.0,13,TARGET_HIT,2025-11
UPS,2025-11-24,92.0,6.687328275461516,55.34475829084967,10.0,28,TARGET_HIT,2025-11
CAT,2025-11-24,87.0,6.171850316609014,56.106480186480184,10.0,11,TARGET_HIT,2025-11
CSCO,2025-11-24,85.0,6.7936727934955154,63.6111254632103,-2.4714527269875544,30,MAX_HOLD,2025-11
LUV,2025-12-01,93.0,14.75247818959233,62.25320011071231,10.0,5,TARGET_HIT,2025-12
NEM,2025-12-01,90.0,13.741987092408959,56.77490917492053,10.0,9,TARGET_HIT,2025-12
MGM,2025-12-01,86.0,10.64626905204948,66.62389207188679,-2.906317209957867,30,MAX_HOLD,2025-12
AMGN,2025-12-01,83.0,13.895082866094436,63.63154078581031,-7.0,6,STOP_LOSS,2025-12
TJX,2025-12-01,83.0,8.15351982331953,62.6243218355982,2.6467278970192814,30,MAX_HOLD,2025-12
PFE,2025-12-08,92.0,5.485064025833396,57.64966006431924,1.2805542074616114,30,MAX_HOLD,2025-12
VRTX,2025-12-08,92.0,7.9541864427483695,53.981345246261654,10.0,20,TARGET_HIT,2025-12
CSCO,2025-12-08,90.0,10.96102121090395,55.34651901377753,-7.0,23,STOP_LOSS,2025-12
MRK,2025-12-08,88.0,14.661563210165578,61.98182943803582,10.0,18,TARGET_HIT,2025-12
