symbol,entry_date,score,mom,rsi,ret,days,exit,stop_type,month
ETN,2025-10-06,100.0,8.73558603461657,56.64407892772919,-7.0,21,STOP_LOSS,NORMAL,2025-10
DLR,2025-10-06,96.25,10.547194031973218,57.47350794224067,-7.0,27,STOP_LOSS,NORMAL,2025-10
ARM,2025-10-06,96.0,12.275407435660362,52.9194325338915,10.0,3,TARGET_HIT,NORMAL,2025-10
GE,2025-10-06,92.5,8.16316399176175,56.402342458241655,0.0,24,BREAKEVEN,NORMAL,2025-10
JPM,2025-10-06,92.25,6.067793383879787,53.218934282526696,-2.8494754363497843,30,MAX_HOLD,NORMAL,2025-10
IBM,2025-10-13,100.0,8.187637260879109,54.38998923399029,10.0,9,TARGET_HIT,NORMAL,2025-10
AMGN,2025-10-13,96.0,6.559767612895451,54.73487944900494,10.0,17,TARGET_HIT,NORMAL,2025-10
ASML,2025-10-13,92.25,13.531651090821455,53.93840248699982,10.0,13,TARGET_HIT,NORMAL,2025-10
ABBV,2025-10-13,92.25,5.831526557855284,57.803939867790646,-7.0,15,STOP_LOSS,NORMAL,2025-10
FSLR,2025-10-13,87.25,9.251204780910326,60.9132770946553,0.0,6,BREAKEVEN,NORMAL,2025-10
MRK,2025-10-20,96.0,7.3631800990766285,57.025270046108794,10.0,19,TARGET_HIT,NORMAL,2025-10
DHR,2025-10-20,94.75,9.607346415169188,61.14414197252572,10.0,1,TARGET_HIT,NORMAL,2025-10
LMT,2025-10-20,88.5,5.310261766002629,55.79823467331862,-3.2417480224793676,1,EARLY_WARNING,NORMAL,2025-10
PWR,2025-10-20,87.25,11.319216074976381,63.47684782788101,-6.47320853468292,2,EARLY_WARNING,NORMAL,2025-10
LLY,2025-10-20,87.0,7.154122893423201,61.8808872731088,10.0,10,TARGET_HIT,NORMAL,2025-10
DDOG,2025-10-27,96.25,8.508881369790979,53.496497839912955,10.0,8,TARGET_HIT,NORMAL,2025-10
TSM,2025-10-27,92.5,9.157119600909207,52.05373127749236,-7.0,9,STOP_LOSS,NORMAL,2025-10
NUE,2025-10-27,90.75,6.3675960628618995,60.82901344773874,0.0,6,BREAKEVEN,NORMAL,2025-10
NVDA,2025-10-27,88.5,5.3010646334804585,56.70060372711611,10.0,2,TARGET_HIT,NORMAL,2025-10
UNH,2025-10-27,88.5,6.025846353436547,52.22651580866029,-5.800866513139609,3,EARLY_WARNING,NORMAL,2025-10
