symbol,entry_date,reason
AAPL,2025-10-15,RSI too low (35.5 < 45)
MSFT,2025-10-15,Volume too low (0.76x < 0.8x)
AMZN,2025-10-15,Downtrend (MA20 < MA50)
TSLA,2025-10-15,Volume too low (0.78x < 0.8x)
META,2025-10-15,RSI too low (38.8 < 45)
AMD,2025-10-15,RSI extended (79.2 > 72)
QCOM,2025-10-15,RSI too low (41.2 < 45)
MU,2025-10-15,Momentum extended (54.6% > 38%)
INTC,2025-10-15,Momentum extended (51.0% > 38%)
AMAT,2025-10-15,Momentum extended (43.8% > 38%)
LRCX,2025-10-15,Momentum extended (44.5% > 38%)
SNPS,2025-10-15,RSI too low (31.0 < 45)
CDNS,2025-10-15,RSI too low (29.5 < 45)
MRVL,2025-10-15,Momentum extended (38.8% > 38%)
SNOW,2025-10-15,Volume too low (0.66x < 0.8x)
CRWD,2025-10-15,Volume too low (0.55x < 0.8x)
DDOG,2025-10-15,Volume too low (0.69x < 0.8x)
ZS,2025-10-15,Volume too low (0.78x < 0.8x)
OKTA,2025-10-15,RSI too low (43.7 < 45)
SHOP,2025-10-15,Volume too low (0.70x < 0.8x)
SQ,2025-10-15,Error: Failed to get price data for SQ from all sources
COIN,2025-10-15,Freefall (-13.1% < -8%)
HOOD,2025-10-15,Freefall (-12.0% < -8%)
U,2025-10-15,RSI too low (36.1 < 45)
ARWR,2025-10-15,RSI extended (75.3 > 72)
VRTX,2025-10-15,Volume too low (0.76x < 0.8x)
ILMN,2025-10-15,Downtrend (MA20 < MA50)
REGN,2025-10-15,Volume too low (0.76x < 0.8x)
BIIB,2025-10-15,Volume too low (0.74x < 0.8x)
SCCO,2025-10-15,Volume too low (0.53x < 0.8x)
FCX,2025-10-15,RSI extended (73.4 > 72)
NEM,2025-10-15,RSI extended (73.1 > 72)
PATH,2025-10-15,RSI extended (72.6 > 72)
PLTR,2025-10-15,Volume too low (0.68x < 0.8x)
DKNG,2025-10-15,RSI too low (29.9 < 45)
PENN,2025-10-15,RSI too low (25.4 < 45)
RIVN,2025-10-15,RSI too low (19.3 < 45)
LCID,2025-10-15,RSI too low (42.2 < 45)
AAPL,2025-10-20,Volume too high (1.96x > 1.8x)
AMZN,2025-10-20,Downtrend (MA20 < MA50)
NVDA,2025-10-20,Volume too low (0.74x < 0.8x)
TSLA,2025-10-20,Volume too low (0.71x < 0.8x)
META,2025-10-20,Volume too low (0.72x < 0.8x)
AVGO,2025-10-20,Volume too low (0.73x < 0.8x)
ASML,2025-10-20,Volume too low (0.73x < 0.8x)
AMD,2025-10-20,RSI extended (77.9 > 72)
MU,2025-10-20,Momentum extended (53.0% > 38%)
INTC,2025-10-20,Momentum extended (55.9% > 38%)
AMAT,2025-10-20,Momentum extended (39.5% > 38%)
LRCX,2025-10-20,Volume too low (0.77x < 0.8x)
SNPS,2025-10-20,RSI too low (35.1 < 45)
CDNS,2025-10-20,RSI too low (33.6 < 45)
MRVL,2025-10-20,Volume too low (0.74x < 0.8x)
SNOW,2025-10-20,Volume too low (0.63x < 0.8x)
DDOG,2025-10-20,Volume too low (0.62x < 0.8x)
ZS,2025-10-20,Volume too low (0.68x < 0.8x)
OKTA,2025-10-20,RSI too low (41.3 < 45)
SHOP,2025-10-20,Volume too low (0.72x < 0.8x)
SQ,2025-10-20,Error: Failed to get price data for SQ from all sources
HOOD,2025-10-20,RSI too low (43.6 < 45)
RBLX,2025-10-20,Volume too low (0.76x < 0.8x)
U,2025-10-20,RSI too low (35.4 < 45)
