symbol,entry_date,score,mom,rsi,ret,days,exit
ETN,2025-10-06,100.0,8.73558603461657,56.64407892772919,-7.0,21,STOP_LOSS
DLR,2025-10-06,96.25,10.547194031973218,57.47350794224067,-7.0,27,STOP_LOSS
ARM,2025-10-06,94.0,12.275407435660362,52.9194325338915,10.0,3,TARGET_HIT
GS,2025-10-06,94.0,7.4044746414303155,56.35521952605518,-7.0,9,STOP_LOSS
AA,2025-10-06,94.0,5.461924742936085,51.69400586078749,10.0,2,TARGET_HIT
IBM,2025-10-13,100.0,8.187637260879109,54.38998923399029,10.0,9,TARGET_HIT
ABBV,2025-10-13,94.0,5.831526557855284,57.803939867790646,-7.0,15,STOP_LOSS
ASML,2025-10-13,90.25,13.531651090821455,53.93840248699982,10.0,13,TARGET_HIT
AMGN,2025-10-13,90.25,6.559767612895451,54.73487944900494,10.0,17,TARGET_HIT
GILD,2025-10-13,85.0,5.038209216615522,60.54233611511085,5.9724182610617556,30,MAX_HOLD
DHR,2025-10-20,94.75,9.607346415169188,61.14414197252572,10.0,1,TARGET_HIT
MRK,2025-10-20,94.0,7.3631800990766285,57.025270046108794,10.0,19,TARGET_HIT
LLY,2025-10-20,88.75,7.154122893423201,61.8808872731088,10.0,10,TARGET_HIT
LMT,2025-10-20,84.0,5.310261766002629,55.79823467331862,-7.0,13,STOP_LOSS
URI,2025-10-20,78.75,6.0280656272340485,60.6826902892288,-7.0,3,STOP_LOSS
DDOG,2025-10-27,100.0,8.508881369790979,53.496497839912955,10.0,8,TARGET_HIT
TSM,2025-10-27,90.0,9.157119600909207,52.05373127749236,-7.0,9,STOP_LOSS
PWR,2025-10-27,90.0,8.021471472323134,57.44555136184262,3.6530737228080783,30,MAX_HOLD
GILD,2025-10-27,88.75,6.970342541460576,61.83451584157099,-0.9213893328442546,30,MAX_HOLD
NUE,2025-10-27,88.75,6.3675960628618995,60.82901344773874,10.0,22,TARGET_HIT
STLD,2025-11-03,91.0,10.124964220994476,60.412312295279555,10.0,21,TARGET_HIT
EQIX,2025-11-03,90.25,5.444137323886176,54.90896210426146,-7.0,10,STOP_LOSS
VLO,2025-11-03,78.75,5.005505139539642,61.109787716651454,-4.518229016365879,30,MAX_HOLD
HUBS,2025-11-03,76.25,6.6847840719556295,64.99842931230859,-7.0,2,STOP_LOSS
VRTX,2025-11-03,76.25,5.733434215303221,65.2029868414939,6.798120059877494,30,MAX_HOLD
CSCO,2025-11-10,94.0,6.863323408815909,55.86972581743421,10.0,3,TARGET_HIT
WFC,2025-11-10,91.0,9.671422046432978,61.04858539573657,9.721257717673232,30,MAX_HOLD
ZM,2025-11-10,88.75,5.039794853410967,48.71649463896815,4.810004598187074,30,MAX_HOLD
BMY,2025-11-10,86.0,8.543868098773798,67.98938867993115,10.0,17,TARGET_HIT
DE,2025-11-10,84.75,8.034434386126659,59.9399737432133,-1.7243245773010205,30,MAX_HOLD
UPS,2025-11-17,94.75,10.260481007828648,48.493126979476905,5.308419015182,30,MAX_HOLD
F,2025-11-17,94.75,8.665220120614519,47.696616784258254,1.863352243678002,30,MAX_HOLD
PSX,2025-11-17,94.0,5.732685914266915,57.57992904685223,-5.568972521225518,30,MAX_HOLD
DHR,2025-11-17,88.75,5.78242662668671,58.14167284586217,3.990612183560799,30,MAX_HOLD
SLB,2025-11-17,88.75,7.089435124487868,49.667391871454605,10.0,16,TARGET_HIT
BMY,2025-11-24,94.75,10.071441031549037,61.33749936477029,10.0,13,TARGET_HIT
CAT,2025-11-24,90.25,6.171850316609014,56.106480186480184,10.0,11,TARGET_HIT
CSCO,2025-11-24,80.0,6.7936727934955154,63.6111254632103,-2.4714527269875544,30,MAX_HOLD
FDX,2025-11-24,70.0,7.9404913941900706,65.39559874214034,10.0,19,TARGET_HIT
HLT,2025-12-01,84.75,10.21198682825672,60.555663481728104,6.0380143520163285,30,MAX_HOLD
SBUX,2025-12-01,84.0,5.754204887699411,52.537521823853304,7.348954887107249,30,MAX_HOLD
VLO,2025-12-01,84.0,7.146997582374015,52.65862677920417,-7.0,9,STOP_LOSS
SPG,2025-12-01,84.0,5.336824084424852,56.41771783435875,1.547218239300885,30,MAX_HOLD
NEM,2025-12-01,84.0,13.741987092408959,56.77490917492053,10.0,9,TARGET_HIT
PFE,2025-12-08,94.0,5.485064025833396,57.64966006431924,1.2805542074616114,30,MAX_HOLD
VRTX,2025-12-08,94.0,7.9541864427483695,53.981345246261654,10.0,20,TARGET_HIT
DHR,2025-12-08,90.25,6.925787615322622,56.169811400006445,7.097454303033322,30,MAX_HOLD
CSCO,2025-12-08,90.0,10.96102121090395,55.34651901377753,-7.0,23,STOP_LOSS
REGN,2025-12-08,88.75,7.088910042323598,49.96057034219443,10.0,9,TARGET_HIT
MRK,2025-12-15,96.25,8.821491825601797,51.69589753409378,10.0,15,TARGET_HIT
CAT,2025-12-15,85.0,6.449099164756339,61.18030621631085,10.0,21,TARGET_HIT
NUE,2025-12-15,82.25,9.635951098217985,63.671999851943966,10.0,24,TARGET_HIT
GOOGL,2025-12-15,76.0,11.581208469508088,39.863276179192674,10.0,19,TARGET_HIT
ASML,2025-12-15,76.0,8.027961567089093,67.64413785438796,-7.0,2,STOP_LOSS
