symbol,pattern,entry_date,exit_date,entry_price,exit_price,sl_price,tp_price,sl_pct,shares,net_pnl,pnl_pct,exit_reason,days_held,vol_ratio,year,month
AAPL,hammer,2025-01-22,2025-01-27,219.03,227.34,214.65,227.79,2.0,11,86.45,3.79,take_profit,3,1.53,2025,2025-01
MSFT,hammer,2024-06-03,2024-06-17,411.74,438.31,398.02,439.18,3.33,6,154.27,6.45,take_profit,10,1.16,2024,2024-06
AMD,bullish_engulfing,2023-05-05,2023-05-08,85.16,91.79,81.75,91.97,4.0,29,187.11,7.78,take_profit,1,1.45,2023,2023-05
AMAT,bullish_engulfing,2023-08-21,2023-09-05,140.44,151.37,134.82,151.67,4.0,18,191.51,7.78,take_profit,10,1.03,2023,2023-08
SWKS,hammer,2024-02-05,2024-02-13,95.01,96.17,92.29,100.44,2.86,26,25.32,1.23,stop_loss,6,1.38,2024,2024-02
KEYS,bullish_engulfing,2024-12-23,2025-01-08,162.48,164.56,158.28,170.88,2.58,15,26.23,1.28,time_exit,10,1.4,2024,2024-12
FTNT,hammer,2023-05-01,2023-05-02,62.42,61.05,61.18,64.92,2.0,41,-61.27,-2.2,stop_loss,1,1.16,2023,2023-05
FTNT,bullish_engulfing,2024-12-23,2025-01-02,97.12,93.05,93.24,104.89,4.0,26,-110.8,-4.19,stop_loss,6,1.38,2024,2024-12
TSLA,bullish_engulfing,2025-10-24,2025-11-04,447.72,455.76,429.81,483.54,4.0,5,35.69,1.8,stop_loss,7,1.05,2025,2025-10
MCD,bullish_engulfing,2025-04-10,2025-04-14,296.76,309.35,290.16,309.97,2.22,8,95.81,4.24,take_profit,2,2.04,2025,2025-04
MCD,hammer,2025-06-10,2025-06-17,297.13,290.61,291.19,309.02,2.0,8,-56.9,-2.2,stop_loss,5,0.79,2025,2025-06
TJX,bullish_engulfing,2025-10-07,2025-10-09,142.21,139.09,139.37,147.9,2.0,17,-57.87,-2.2,stop_loss,2,0.98,2025,2025-10
CMG,hammer,2024-06-03,2024-06-17,62.9,66.81,60.88,66.95,3.21,40,151.19,6.22,take_profit,10,0.97,2024,2024-06
CMG,hammer,2025-01-23,2025-01-27,55.81,57.93,54.7,58.04,2.0,45,90.12,3.79,take_profit,2,1.16,2025,2025-01
MAR,hammer,2024-11-05,2024-11-06,251.56,263.45,245.35,263.98,2.47,10,113.79,4.73,take_profit,1,1.17,2024,2024-11
MAR,bullish_engulfing,2024-12-23,2025-01-02,281.31,272.22,272.76,298.41,3.04,9,-86.82,-3.23,stop_loss,6,1.47,2024,2024-12
LVS,hammer,2025-09-09,2025-09-15,53.33,52.16,52.26,55.46,2.0,48,-61.28,-2.2,stop_loss,4,1.1,2025,2025-09
MGM,hammer,2025-08-01,2025-08-04,36.21,35.09,35.16,38.31,2.9,71,-84.53,-3.09,stop_loss,1,1.48,2025,2025-08
RCL,hammer,2023-09-06,2023-09-20,96.2,94.36,92.46,103.69,3.89,26,-52.93,-1.92,time_exit,10,1.0,2023,2023-09
RCL,bullish_engulfing,2024-04-12,2024-04-15,129.37,126.53,126.78,134.54,2.0,19,-58.84,-2.2,stop_loss,1,1.13,2024,2024-04
GM,bullish_engulfing,2024-12-23,2025-01-02,51.06,51.84,49.31,54.57,3.44,49,32.87,1.52,stop_loss,6,0.96,2024,2024-12
ORLY,hammer,2023-12-18,2024-01-03,63.66,62.79,62.09,66.79,2.46,40,-39.89,-1.37,time_exit,10,1.19,2023,2023-12
BAC,bullish_engulfing,2024-12-23,2025-01-07,42.99,45.06,41.91,45.15,2.51,59,116.72,4.81,take_profit,9,1.33,2024,2024-12
BLK,hammer,2024-12-05,2024-12-17,1011.33,1023.78,982.32,1069.35,2.87,2,20.84,1.23,stop_loss,8,1.05,2024,2024-12
V,hammer,2023-06-08,2023-06-23,220.91,224.38,215.4,231.93,2.49,11,33.36,1.57,time_exit,10,1.21,2023,2023-06
MA,bullish_engulfing,2023-04-28,2023-05-12,367.39,375.15,353.53,395.11,3.77,6,42.09,2.11,time_exit,10,1.08,2023,2023-04
MA,hammer,2024-12-18,2024-12-20,527.55,515.97,517.0,548.65,2.0,4,-50.51,-2.2,stop_loss,2,0.84,2024,2024-12
SPGI,hammer,2024-02-09,2024-02-13,431.23,413.16,413.98,465.73,4.0,5,-94.61,-4.19,stop_loss,2,2.09,2024,2024-02
ICE,bullish_engulfing,2023-06-01,2023-06-12,102.7,103.92,99.84,108.42,2.79,24,24.37,1.19,stop_loss,7,1.07,2023,2023-06
CME,hammer,2023-12-15,2023-12-20,190.59,192.13,186.74,198.29,2.02,13,15.06,0.81,stop_loss,3,1.16,2023,2023-12
CME,hammer,2025-06-23,2025-07-08,272.25,272.51,261.36,294.02,4.0,9,-2.49,0.1,time_exit,10,1.05,2025,2025-06
MSCI,hammer,2024-09-23,2024-09-27,543.04,563.63,532.18,564.76,2.0,4,77.94,3.79,take_profit,4,0.82,2024,2024-09
TW,hammer,2023-10-06,2023-10-19,81.28,81.97,79.55,84.72,2.12,31,16.54,0.86,stop_loss,9,1.22,2023,2023-10
ABBV,hammer,2023-09-07,2023-09-14,134.07,140.06,130.94,140.34,2.34,19,108.48,4.46,take_profit,5,0.92,2023,2023-09
MRK,bullish_engulfing,2023-06-01,2023-06-07,101.9,98.98,99.18,107.33,2.66,25,-77.84,-2.86,stop_loss,4,1.15,2023,2023-06
MRK,bullish_engulfing,2024-03-18,2024-03-27,115.27,121.56,112.0,121.8,2.83,22,133.16,5.46,take_profit,7,1.23,2024,2024-03
ABT,hammer,2025-10-02,2025-10-15,131.43,126.97,127.22,139.85,3.2,19,-89.74,-3.4,stop_loss,9,1.23,2025,2025-10
DHR,hammer,2024-04-17,2024-04-18,238.63,233.39,233.86,248.17,2.0,10,-57.12,-2.2,stop_loss,1,1.09,2024,2024-04
DHR,hammer,2024-09-03,2024-09-04,265.34,259.52,260.04,275.96,2.0,9,-57.17,-2.2,stop_loss,1,0.61,2024,2024-09
BSX,bullish_engulfing,2023-06-01,2023-06-15,51.4,53.87,49.84,54.53,3.04,49,115.84,4.8,time_exit,10,1.14,2023,2023-06
BSX,hammer,2024-10-31,2024-11-14,83.88,87.41,80.52,90.59,4.0,30,100.98,4.22,time_exit,10,1.56,2024,2024-10
ISRG,hammer,2025-03-05,2025-03-06,555.28,541.73,542.81,580.21,2.25,4,-58.59,-2.44,stop_loss,1,1.3,2025,2025-03
ISRG,bullish_engulfing,2025-03-06,2025-03-07,560.07,547.77,548.87,582.47,2.0,4,-53.63,-2.2,stop_loss,1,1.28,2025,2025-03
ISRG,hammer,2025-06-10,2025-06-13,526.86,504.78,505.79,569.01,4.0,4,-92.47,-4.19,stop_loss,3,0.98,2025,2025-06
IDXX,hammer,2025-03-03,2025-03-07,439.69,421.26,422.1,474.86,4.0,5,-96.46,-4.19,stop_loss,4,1.22,2025,2025-03
SYK,bullish_engulfing,2024-12-23,2025-01-07,361.33,349.46,350.16,383.67,3.09,7,-88.07,-3.29,stop_loss,9,1.07,2024,2024-12
ZBH,bullish_engulfing,2023-06-01,2023-06-08,124.74,131.73,121.11,132.0,2.91,20,134.78,5.61,take_profit,5,1.0,2023,2023-06
ZBH,bullish_engulfing,2023-07-21,2023-07-28,139.64,135.61,135.88,147.15,2.69,18,-77.49,-2.89,stop_loss,5,1.02,2023,2023-07
HOLX,bullish_engulfing,2024-03-18,2024-04-02,76.3,75.93,74.1,80.71,2.89,33,-17.38,-0.49,time_exit,10,1.01,2024,2024-03
HOLX,hammer,2024-11-07,2024-11-08,80.76,78.38,78.54,85.21,2.76,31,-78.8,-2.95,stop_loss,1,1.93,2024,2024-11
HOLX,hammer,2025-12-26,2025-12-30,74.65,74.39,73.16,77.63,2.0,34,-13.84,-0.35,end_of_data,3,0.52,2025,2025-12
HON,hammer,2024-02-02,2024-02-16,178.3,177.71,171.17,192.56,4.0,14,-13.31,-0.33,time_exit,10,1.93,2024,2024-02
CAT,hammer,2025-08-14,2025-08-21,407.99,411.24,399.83,424.31,2.0,6,14.62,0.8,stop_loss,5,1.29,2025,2025-08
DE,hammer,2024-02-15,2024-02-16,357.49,349.64,350.34,371.78,2.0,7,-59.9,-2.2,stop_loss,1,1.16,2024,2024-02
RTX,bullish_engulfing,2024-03-18,2024-03-28,89.82,94.32,87.47,94.51,2.61,28,120.99,5.02,take_profit,8,1.26,2024,2024-03
RTX,bullish_engulfing,2025-11-25,2025-12-01,173.11,167.72,168.06,183.21,2.92,14,-80.18,-3.11,stop_loss,3,1.13,2025,2025-11
LMT,bullish_engulfing,2024-09-23,2024-10-01,552.78,575.79,540.7,576.95,2.19,4,87.54,4.16,take_profit,6,0.9,2024,2024-09
NOC,bullish_engulfing,2024-10-25,2024-10-28,515.71,501.28,502.28,542.57,2.6,4,-61.8,-2.8,stop_loss,1,1.28,2024,2024-10
NOC,bullish_engulfing,2025-04-10,2025-04-22,506.0,515.09,485.76,546.48,4.0,5,40.33,1.8,stop_loss,7,1.89,2025,2025-04
