feature,gain
atr_pct,276254.95760560036
spy_dist_ma50,237353.01056289673
vix_x,204203.48185920715
month,189731.69579219818
vix_5d_chg,168726.79142570496
vix_pctile_60d,154452.39881515503
tlt_5d_chg,147055.54927444458
hyg_spy_chg,138820.63963794708
spy_dist_ma20,133579.81249332428
spy_20d_chg,127883.11572790146
spy_5d_chg,121945.4859380722
yield_spread_chg,119554.37849712372
dxy_5d_chg,118919.1085653305
dom,111950.50834941864
vol_60d,92594.07824969292
days_to_next_earnings,43500.348138809204
ret_60d,24568.162809848785
vol_20d,24263.734577178955
beta,20423.509830713272
vol_10d,19583.05646800995
dow,15462.488728523254
pe_trailing,14669.250681877136
dist_ma50,14335.490290164948
pct_52w_hi,13839.914597034454
mcap_log,11967.751502990723
dist_ma200,10465.24638748169
sector_id,10005.508204936981
pct_52w_lo,9870.3292760849
dist_ma5,8821.827036380768
dist_ma10,8667.29418849945
rsi_14,4949.610422134399
ret_10d,4864.371229737997
macd_hist,4293.197301864624
atr_14,4203.921533614397
dist_ma100,3652.2743604779243
pe_forward,3314.613106250763
ret_5d,3140.7135853767395
ret_3d,2932.7666115760803
pct_20d_lo,2653.0410894155502
ret_1d,2348.2492721676826
obv_ma20_dist,1750.8095998764038
days_since_20d_hi,1731.2630848884583
days_since_20d_lo,1677.396695137024
money_flow_14,1596.5250034332275
rsi_7,1588.755627632141
bb_width,1281.341700553894
bb_pos,1120.1944094896317
ma_cross_20_50,1039.7043991088867
ret_20d,826.0795984268188
consol_20d,753.386604309082
pct_20d_hi,745.6692008972168
dist_ma20,696.4979209899902
adx_proxy,566.4133720397949
range_exp,563.6672377586365
stoch_k_14,502.4820408821106
stoch_d_14,486.2305974960327
vol_ratio_20,378.1409864425659
vol_change_1d,277.0794448852539
vol_ratio_5,229.16305427253246
has_earnings_nearby,58.11319923400879
ma_cross_5_20,0.0
