feature,gain
atr_pct,711960.6754922867
vix_x,375340.151971817
vol_60d,372223.11960554123
month,339495.09679317474
spy_dist_ma50,251813.72865200043
days_to_next_earnings,154456.19177028537
spy_20d_chg,100423.53186035156
vix_pctile_60d,95284.97187709808
beta,88544.45900344849
yield_spread_chg,85685.81343078613
dxy_5d_chg,70514.17156791687
pct_52w_lo,68392.85546660423
pct_52w_hi,65919.95461559296
tlt_5d_chg,65694.24895000458
spy_dist_ma20,62502.77616214752
vix_5d_chg,60769.010449409485
dist_ma50,53392.41288137436
hyg_spy_chg,51811.95101380348
dom,43345.0340321064
sector_id,39255.94540596008
spy_5d_chg,37720.06399464607
dist_ma100,32287.156881332397
ret_60d,25427.53768634796
atr_14,24882.833563447
mcap_log,23787.696488380432
pe_forward,19152.743272781372
pe_trailing,19029.573204517365
dist_ma200,19021.389784812927
vol_10d,16116.112342357635
ret_20d,14769.693162202835
vol_20d,12479.194279670715
pct_20d_hi,11532.646687984467
ret_10d,4870.092611551285
macd_hist,4773.386799812317
ma_cross_20_50,3505.294231414795
bb_width,2875.8887034654617
days_since_20d_hi,2707.0765204429626
dist_ma10,2473.4263916015625
adx_proxy,2455.1496756076813
ret_5d,2444.139078617096
consol_20d,2257.7565994262695
ret_1d,1834.7547221183777
stoch_d_14,1738.0164444744587
dist_ma5,1723.6009998321533
days_since_20d_lo,1638.1164045333862
dow,1627.847002029419
pct_20d_lo,1444.9401836395264
stoch_k_14,1430.1958220005035
money_flow_14,1279.531581878662
rsi_14,1221.4835939407349
dist_ma20,1043.6567161083221
ret_3d,865.4653134346008
rsi_7,511.21439266204834
vol_ratio_20,495.96454632282257
obv_ma20_dist,226.86191937327385
range_exp,213.8741054534912
vol_ratio_5,181.6233959197998
bb_pos,180.45353889465332
ma_cross_5_20,89.56009674072266
vol_change_1d,70.63200998306274
has_earnings_nearby,0.0
