symbol,earnings_date,sell_date,hold_days,gap_pct,volume_ratio,buy_price,sell_price,earnings_day_return,total_return,profitable
NVDA,2023-05-25,2023-05-26,1,26.14774409927477,3.3026045768310004,38.49101183651756,38.91365814208984,-1.4095456853161232,1.0980389587246493,True
NVDA,2023-05-25,2023-05-30,2,26.14774409927477,3.3026045768310004,38.49101183651756,40.07769393920898,-1.4095456853161232,4.122214582018567,True
NVDA,2023-05-25,2023-05-31,3,26.14774409927477,3.3026045768310004,38.49101183651756,37.802581787109375,-1.4095456853161232,-1.788547550612969,False
NVDA,2023-05-25,2023-06-02,5,26.14774409927477,3.3026045768310004,38.49101183651756,39.294342041015625,-1.4095456853161232,2.0870592020548657,True
NVDA,2023-05-25,2023-06-06,7,26.14774409927477,3.3026045768310004,38.49101183651756,38.62189865112305,-1.4095456853161232,0.3400451387492831,True
META,2023-02-02,2023-02-03,1,19.762264277562792,4.380777537451143,182.10790119005645,185.23606872558597,2.9392514157107112,1.7177549766304807,True
META,2023-02-02,2023-02-06,2,19.762264277562792,4.380777537451143,182.10790119005645,184.76931762695312,2.9392514157107112,1.4614502827744371,True
META,2023-02-02,2023-02-07,3,19.762264277562792,4.380777537451143,182.10790119005645,190.2907257080078,2.9392514157107112,4.493393457657489,True
META,2023-02-02,2023-02-09,5,19.762264277562792,4.380777537451143,182.10790119005645,176.68577575683594,2.9392514157107112,-2.977424591567681,False
META,2023-02-02,2023-02-13,7,19.762264277562792,4.380777537451143,182.10790119005645,178.18531799316406,2.9392514157107112,-2.1539884712627573,False
META,2023-04-27,2023-04-28,1,14.560664783238373,3.1282617411697506,238.22592722369825,238.6529235839844,-0.5544215408890059,0.1792400874507655,True
META,2023-04-27,2023-05-01,2,14.560664783238373,3.1282617411697506,238.22592722369825,241.49310302734372,-0.5544215408890059,1.3714610503236861,True
META,2023-04-27,2023-05-02,3,14.560664783238373,3.1282617411697506,238.22592722369825,237.58041381835935,-0.5544215408890059,-0.27096689804580126,False
META,2023-04-27,2023-05-04,5,14.560664783238373,3.1282617411697506,238.22592722369825,231.90013122558597,-0.5544215408890059,-2.655376797913458,False
META,2023-04-27,2023-05-08,7,14.560664783238373,3.1282617411697506,238.22592722369825,231.6518402099609,-0.5544215408890059,-2.7596018159535425,False
META,2024-02-02,2024-02-05,1,16.419266146385635,4.081539628699948,456.41184183691,456.2231140136719,3.348560471383683,-0.0413503344870656,False
META,2024-02-02,2024-02-06,2,16.419266146385635,4.081539628699948,456.41184183691,451.565673828125,3.348560471383683,-1.0617971675057236,False
META,2024-02-02,2024-02-07,3,16.419266146385635,4.081539628699948,456.41184183691,466.33251953125,3.348560471383683,2.1736240791677246,True
