zone,label,base_rate,n_positive,n_total
Z3,label_smart_v2,0.506,24660,48700
Z3,label_custom_dd,0.49,24035,49100
Z3,label_eod_green_v2,0.68,33157,48759
Z3,L1_eod_gain_05,0.355,17960,50618
Z3,L2_eod_gain_10,0.257,12986,50618
Z3,L3_eod_gain_15,0.182,9202,50618
Z3,L4_eod_gain_20,0.128,6464,50618
Z3,L5_eod05_nopump,0.288,14554,50618
Z3,L6_eod10_nopump,0.174,8807,50618
Z4,label_smart_v2,0.502,63146,125810
Z4,label_custom_dd,0.491,62202,126712
Z4,label_eod_green_v2,0.719,90514,125905
Z4,L1_eod_gain_05,0.35,46027,131562
Z4,L2_eod_gain_10,0.244,32063,131562
Z4,L3_eod_gain_15,0.164,21624,131562
Z4,L4_eod_gain_20,0.11,14494,131562
Z4,L5_eod05_nopump,0.272,35785,131562
Z4,L6_eod10_nopump,0.152,19994,131562
