label,2020,2021,2022,2023,2024,2025,2026,stddev,min,max,range
L_touch_1.5_in_5d,0.76,0.714,0.728,0.691,0.694,0.717,0.74,0.0246,0.691,0.76,0.069
L_touch_2_dd-5_in_5d,0.521,0.529,0.5,0.527,0.529,0.528,0.522,0.0104,0.5,0.529,0.029
L_touch_2_in_5d,0.696,0.627,0.658,0.606,0.606,0.635,0.667,0.0333,0.606,0.696,0.09
L_touch_2_in_7d,0.748,0.684,0.71,0.667,0.672,0.695,0.713,0.028,0.667,0.748,0.081
L_touch_3_in_14d,0.759,0.68,0.704,0.663,0.679,0.692,0.704,0.0309,0.663,0.759,0.096
L_touch_3_in_5d,0.579,0.472,0.528,0.457,0.453,0.488,0.53,0.0464,0.453,0.579,0.126
L_touch_3_in_7d,0.644,0.545,0.595,0.533,0.532,0.562,0.592,0.041,0.532,0.644,0.112
L_touch_5_dd-10_in_30d,0.537,0.528,0.443,0.524,0.554,0.513,0.493,0.0363,0.443,0.554,0.111
L_touch_5_in_30d,0.756,0.662,0.663,0.638,0.676,0.67,0.69,0.0373,0.638,0.756,0.118
L_touch_7_in_30d,0.668,0.541,0.554,0.519,0.554,0.554,0.593,0.0489,0.519,0.668,0.149
