label,rate_all,rate_no_earnings,rate_with_earnings,lift_from_filter,n_all,n_no_earn
L_touch_5_in_30d,0.6775,0.6771,0.6835,-0.039,1541440,1449294
L_touch_2_dd-5_in_5d,0.5223,0.5217,0.5301,-0.051,1567452,1470678
L_touch_7_in_30d,0.5656,0.5649,0.576,-0.066,1541440,1449294
L_touch_3_in_14d,0.6962,0.6952,0.7116,-0.1,1558038,1462939
L_touch_5_dd-10_in_30d,0.5155,0.5143,0.5348,-0.123,1541440,1449294
L_touch_2_in_7d,0.6966,0.6947,0.7255,-0.19,1565360,1468665
L_touch_1.5_in_5d,0.7185,0.7165,0.7493,-0.203,1567452,1470678
L_touch_2_in_5d,0.6394,0.6362,0.6885,-0.323,1567452,1470678
L_touch_3_in_7d,0.5695,0.5661,0.621,-0.339,1565360,1468665
L_touch_3_in_5d,0.4977,0.4926,0.5749,-0.508,1567452,1470678
