,L_touch_1.5_in_5d,L_touch_2_in_7d,L_touch_3_in_14d,L_touch_5_in_30d,L_touch_2_in_5d,L_touch_3_in_7d,L_touch_5_dd-10_in_30d,L_touch_2_dd-5_in_5d,L_touch_3_in_5d,L_touch_7_in_30d
L_touch_1.5_in_5d,1.0,0.78,0.55,0.37,0.83,0.64,0.28,0.65,0.62,0.34
L_touch_2_in_7d,0.78,1.0,0.67,0.45,0.88,0.76,0.33,0.69,0.66,0.4
L_touch_3_in_14d,0.55,0.67,1.0,0.63,0.6,0.76,0.46,0.51,0.66,0.54
L_touch_5_in_30d,0.37,0.45,0.63,1.0,0.41,0.5,0.71,0.36,0.45,0.79
L_touch_2_in_5d,0.83,0.88,0.6,0.41,1.0,0.73,0.29,0.79,0.75,0.37
L_touch_3_in_7d,0.64,0.76,0.76,0.5,0.73,1.0,0.35,0.61,0.87,0.46
L_touch_5_dd-10_in_30d,0.28,0.33,0.46,0.71,0.29,0.35,1.0,0.38,0.3,0.61
L_touch_2_dd-5_in_5d,0.65,0.69,0.51,0.36,0.79,0.61,0.38,1.0,0.61,0.32
L_touch_3_in_5d,0.62,0.66,0.66,0.45,0.75,0.87,0.3,0.61,1.0,0.42
L_touch_7_in_30d,0.34,0.4,0.54,0.79,0.37,0.46,0.61,0.32,0.42,1.0
