label,threshold,n_picks,n_per_year,wr,avg_pnl_pct,avg_win_pct,avg_loss_pct,sharpe_est,auc
L_touch_1.5_in_5d,0.5,761015,228995.0,0.721,0.048,1.5,-3.713,0.11,0.62
L_touch_1.5_in_5d,0.55,707775,212974.0,0.73,0.039,1.5,-3.913,0.09,0.62
L_touch_1.5_in_5d,0.6,634991,191073.0,0.742,0.033,1.5,-4.19,0.07,0.62
L_touch_1.5_in_5d,0.65,543305,163484.0,0.758,0.033,1.5,-4.551,0.07,0.62
L_touch_1.5_in_5d,0.7,431308,129784.0,0.775,0.034,1.5,-5.007,0.07,0.62
L_touch_1.5_in_5d,0.75,305429,91906.0,0.793,0.023,1.5,-5.619,0.04,0.62
L_touch_1.5_in_5d,0.8,184119,55403.0,0.814,0.029,1.5,-6.39,0.05,0.62
L_touch_1.5_in_5d,0.85,83917,25251.0,0.838,0.082,1.5,-7.259,0.14,0.62
L_touch_1.5_in_5d,0.9,22660,6819.0,0.879,0.296,1.5,-8.43,0.51,0.62
L_touch_2_in_7d,0.5,717945,216035.0,0.707,0.115,2.0,-4.427,0.18,0.62
L_touch_2_in_7d,0.55,654259,196871.0,0.718,0.106,2.0,-4.715,0.16,0.62
L_touch_2_in_7d,0.6,573973,172712.0,0.731,0.094,2.0,-5.082,0.14,0.62
L_touch_2_in_7d,0.65,477951,143819.0,0.745,0.079,2.0,-5.546,0.11,0.62
L_touch_2_in_7d,0.7,370169,111386.0,0.762,0.066,2.0,-6.114,0.09,0.62
L_touch_2_in_7d,0.75,258294,77722.0,0.78,0.064,2.0,-6.803,0.08,0.62
L_touch_2_in_7d,0.8,153453,46175.0,0.804,0.111,2.0,-7.659,0.14,0.62
L_touch_2_in_7d,0.85,68570,20633.0,0.836,0.253,2.0,-8.68,0.3,0.62
L_touch_2_in_7d,0.9,19263,5796.0,0.885,0.705,2.0,-9.302,0.93,0.62
L_touch_3_in_14d,0.5,704492,211986.0,0.706,0.281,3.0,-6.261,0.22,0.614
L_touch_3_in_14d,0.55,639243,192353.0,0.716,0.26,3.0,-6.649,0.2,0.614
L_touch_3_in_14d,0.6,558674,168109.0,0.728,0.239,3.0,-7.133,0.18,0.614
L_touch_3_in_14d,0.65,462549,139184.0,0.742,0.227,3.0,-7.745,0.16,0.614
L_touch_3_in_14d,0.7,357067,107444.0,0.759,0.241,3.0,-8.444,0.17,0.614
L_touch_3_in_14d,0.75,250270,75308.0,0.779,0.311,3.0,-9.195,0.21,0.614
L_touch_3_in_14d,0.8,150610,45320.0,0.804,0.46,3.0,-9.978,0.3,0.614
L_touch_3_in_14d,0.85,68091,20489.0,0.836,0.735,3.0,-10.768,0.48,0.614
L_touch_3_in_14d,0.9,18511,5570.0,0.886,1.386,3.0,-11.187,1.04,0.614
L_touch_5_in_30d,0.5,631205,193118.0,0.693,0.767,5.0,-8.782,0.28,0.604
L_touch_5_in_30d,0.55,553991,169494.0,0.704,0.771,5.0,-9.292,0.27,0.604
L_touch_5_in_30d,0.6,466986,142875.0,0.717,0.783,5.0,-9.928,0.27,0.604
L_touch_5_in_30d,0.65,373224,114188.0,0.734,0.827,5.0,-10.689,0.28,0.604
L_touch_5_in_30d,0.7,279205,85423.0,0.754,0.94,5.0,-11.534,0.31,0.604
L_touch_5_in_30d,0.75,189775,58062.0,0.78,1.182,5.0,-12.351,0.39,0.604
L_touch_5_in_30d,0.8,110716,33874.0,0.811,1.557,5.0,-13.227,0.51,0.604
L_touch_5_in_30d,0.85,47951,14671.0,0.854,2.221,5.0,-14.007,0.78,0.604
L_touch_5_in_30d,0.9,11732,3589.0,0.912,3.267,5.0,-14.706,1.35,0.604
L_touch_2_in_5d,0.5,612506,184307.0,0.673,0.075,2.0,-3.882,0.14,0.638
L_touch_2_in_5d,0.55,532215,160147.0,0.69,0.073,2.0,-4.22,0.13,0.638
L_touch_2_in_5d,0.6,441450,132835.0,0.709,0.071,2.0,-4.638,0.13,0.638
L_touch_2_in_5d,0.65,345404,103934.0,0.73,0.07,2.0,-5.142,0.12,0.638
L_touch_2_in_5d,0.7,250798,75467.0,0.752,0.078,2.0,-5.746,0.13,0.638
L_touch_2_in_5d,0.75,160805,48387.0,0.775,0.095,2.0,-6.47,0.15,0.638
L_touch_2_in_5d,0.8,84987,25573.0,0.803,0.177,2.0,-7.27,0.27,0.638
L_touch_2_in_5d,0.85,33172,9982.0,0.835,0.332,2.0,-8.085,0.49,0.638
L_touch_2_in_5d,0.9,8369,2518.0,0.876,0.683,2.0,-8.661,1.09,0.638
L_touch_3_in_7d,0.5,458724,138033.0,0.644,0.161,3.0,-4.982,0.19,0.651
L_touch_3_in_7d,0.55,377325,113540.0,0.664,0.154,3.0,-5.463,0.18,0.651
L_touch_3_in_7d,0.6,296627,89257.0,0.685,0.158,3.0,-6.03,0.17,0.651
L_touch_3_in_7d,0.65,219927,66178.0,0.708,0.176,3.0,-6.687,0.19,0.651
L_touch_3_in_7d,0.7,150460,45274.0,0.734,0.221,3.0,-7.439,0.23,0.651
L_touch_3_in_7d,0.75,91274,27465.0,0.762,0.3,3.0,-8.345,0.3,0.651
L_touch_3_in_7d,0.8,45872,13803.0,0.798,0.494,3.0,-9.391,0.48,0.651
L_touch_3_in_7d,0.85,17314,5210.0,0.857,1.052,3.0,-10.63,1.06,0.651
L_touch_3_in_7d,0.9,4082,1228.0,0.91,1.779,3.0,-10.623,2.17,0.651
L_touch_5_dd-10_in_30d,0.5,372390,113933.0,0.536,-0.738,5.0,-7.354,-0.32,0.52
L_touch_5_dd-10_in_30d,0.55,253081,77430.0,0.532,-0.792,5.0,-7.385,-0.34,0.52
L_touch_5_dd-10_in_30d,0.6,155847,47682.0,0.531,-0.784,5.0,-7.329,-0.33,0.52
L_touch_5_dd-10_in_30d,0.65,85645,26203.0,0.532,-0.73,5.0,-7.246,-0.31,0.52
L_touch_5_dd-10_in_30d,0.7,40590,12419.0,0.556,-0.412,5.0,-7.195,-0.18,0.52
L_touch_5_dd-10_in_30d,0.75,16611,5082.0,0.625,0.507,5.0,-6.986,0.23,0.52
L_touch_5_dd-10_in_30d,0.8,4131,1264.0,0.717,1.825,5.0,-6.221,0.94,0.52
L_touch_5_dd-10_in_30d,0.85,374,114.0,0.778,2.859,5.0,-4.646,1.81,0.52
L_touch_5_dd-10_in_30d,0.9,2,1.0,1.0,5.0,5.0,,0.0,0.52
L_touch_2_dd-5_in_5d,0.5,447340,134608.0,0.56,-0.374,2.0,-3.391,-0.88,0.548
L_touch_2_dd-5_in_5d,0.55,293403,88287.0,0.562,-0.397,2.0,-3.472,-0.93,0.548
L_touch_2_dd-5_in_5d,0.6,156890,47209.0,0.56,-0.425,2.0,-3.513,-0.99,0.548
L_touch_2_dd-5_in_5d,0.65,72524,21823.0,0.561,-0.421,2.0,-3.518,-0.98,0.548
L_touch_2_dd-5_in_5d,0.7,26898,8094.0,0.549,-0.528,2.0,-3.607,-1.21,0.548
L_touch_2_dd-5_in_5d,0.75,6546,1970.0,0.479,-0.967,2.0,-3.695,-2.16,0.548
L_touch_2_dd-5_in_5d,0.8,1403,422.0,0.401,-1.557,2.0,-3.934,-3.43,0.548
L_touch_2_dd-5_in_5d,0.85,13,4.0,0.385,-2.129,2.0,-4.71,-4.4,0.548
L_touch_3_in_5d,0.5,332030,99910.0,0.624,0.159,3.0,-4.559,0.23,0.674
L_touch_3_in_5d,0.55,262236,78909.0,0.647,0.163,3.0,-5.032,0.23,0.674
L_touch_3_in_5d,0.6,197578,59453.0,0.671,0.182,3.0,-5.554,0.25,0.674
L_touch_3_in_5d,0.65,140159,42175.0,0.693,0.211,3.0,-6.09,0.28,0.674
L_touch_3_in_5d,0.7,91020,27389.0,0.721,0.305,3.0,-6.667,0.39,0.674
L_touch_3_in_5d,0.75,51872,15609.0,0.755,0.483,3.0,-7.293,0.6,0.674
L_touch_3_in_5d,0.8,24485,7368.0,0.798,0.775,3.0,-8.031,0.96,0.674
L_touch_3_in_5d,0.85,8878,2671.0,0.847,1.25,3.0,-8.417,1.65,0.674
L_touch_3_in_5d,0.9,1974,594.0,0.899,1.862,3.0,-8.229,3.15,0.674
L_touch_7_in_30d,0.5,400119,122417.0,0.645,1.141,7.0,-9.51,0.33,0.637
L_touch_7_in_30d,0.55,321995,98515.0,0.667,1.247,7.0,-10.274,0.35,0.637
L_touch_7_in_30d,0.6,248495,76027.0,0.691,1.405,7.0,-11.098,0.39,0.637
L_touch_7_in_30d,0.65,181005,55379.0,0.716,1.625,7.0,-11.944,0.45,0.637
