label,threshold,n_picks,n_per_year,wr,avg_pnl_pct,avg_win_pct,avg_loss_pct,sharpe_est,auc
L_touch_3_in_5d,0.9,1974,594.0,0.899,1.862,3.0,-8.229,3.15,0.674
L_touch_3_in_7d,0.9,4082,1228.0,0.91,1.779,3.0,-10.623,2.17,0.651
L_touch_3_in_5d,0.85,8878,2671.0,0.847,1.25,3.0,-8.417,1.65,0.674
L_touch_7_in_30d,0.9,1895,580.0,0.916,4.688,7.0,-20.558,1.49,0.637
L_touch_5_in_30d,0.9,11732,3589.0,0.912,3.267,5.0,-14.706,1.35,0.604
L_touch_7_in_30d,0.85,11261,3445.0,0.864,3.902,7.0,-15.828,1.18,0.637
L_touch_2_in_5d,0.9,8369,2518.0,0.876,0.683,2.0,-8.661,1.09,0.638
L_touch_3_in_7d,0.85,17314,5210.0,0.857,1.052,3.0,-10.63,1.06,0.651
L_touch_3_in_14d,0.9,18511,5570.0,0.886,1.386,3.0,-11.187,1.04,0.614
L_touch_2_in_7d,0.9,19263,5796.0,0.885,0.705,2.0,-9.302,0.93,0.62
L_touch_7_in_30d,0.8,34909,10680.0,0.815,3.012,7.0,-14.61,0.85,0.637
L_touch_5_in_30d,0.85,47951,14671.0,0.854,2.221,5.0,-14.007,0.78,0.604
L_touch_1.5_in_5d,0.9,22660,6819.0,0.879,0.296,1.5,-8.43,0.51,0.62
L_touch_5_in_30d,0.8,110716,33874.0,0.811,1.557,5.0,-13.227,0.51,0.604
L_touch_2_in_5d,0.85,33172,9982.0,0.835,0.332,2.0,-8.085,0.49,0.638
L_touch_3_in_14d,0.85,68091,20489.0,0.836,0.735,3.0,-10.768,0.48,0.614
L_touch_3_in_14d,0.8,150610,45320.0,0.804,0.46,3.0,-9.978,0.3,0.614
L_touch_2_in_7d,0.85,68570,20633.0,0.836,0.253,2.0,-8.68,0.3,0.62
L_touch_2_in_5d,0.8,84987,25573.0,0.803,0.177,2.0,-7.27,0.27,0.638
L_touch_1.5_in_5d,0.85,83917,25251.0,0.838,0.082,1.5,-7.259,0.14,0.62
L_touch_2_in_7d,0.8,153453,46175.0,0.804,0.111,2.0,-7.659,0.14,0.62
L_touch_1.5_in_5d,0.8,184119,55403.0,0.814,0.029,1.5,-6.39,0.05,0.62
