label,threshold,tp,sl,window,n,n_per_year,wr_cons,wr_mid,avg_cons,avg_mid,avg_opt,std,sharpe_mid
L_touch_3_in_5d,0.9,5.0,-2.0,5,1974,597.0,0.16,0.817,-0.894,1.408,3.709,2.036,4.91
L_touch_3_in_5d,0.9,4.0,-2.0,5,1974,597.0,0.16,0.863,-1.044,1.066,3.175,1.629,4.64
L_touch_3_in_5d,0.9,7.0,-2.0,5,1974,597.0,0.16,0.715,-0.604,1.897,4.398,2.907,4.63
L_touch_3_in_5d,0.9,7.0,none,5,1974,597.0,0.831,0.831,3.934,3.934,3.934,6.244,4.47
L_touch_3_in_5d,0.9,5.0,none,5,1974,597.0,0.874,0.874,3.059,3.059,3.059,5.252,4.13
L_touch_3_in_5d,0.9,7.0,-2.5,5,1974,597.0,0.195,0.722,-0.708,1.797,4.302,3.183,4.01
L_touch_3_in_5d,0.9,5.0,-2.5,5,1974,597.0,0.196,0.819,-1.047,1.29,3.626,2.287,4.0
L_touch_3_in_5d,0.9,4.0,none,5,1974,597.0,0.895,0.895,2.526,2.526,2.526,4.71,3.81
L_touch_3_in_5d,0.9,3.0,-2.0,5,1974,597.0,0.16,0.899,-1.2,0.647,2.493,1.27,3.62
L_touch_3_in_5d,0.9,4.0,-2.5,5,1974,597.0,0.196,0.864,-1.23,0.94,3.11,1.859,3.59
L_touch_3_in_5d,0.9,7.0,-3.0,5,1974,597.0,0.236,0.729,-0.727,1.74,4.207,3.474,3.56
L_touch_3_in_5d,0.9,5.0,-3.0,5,1974,597.0,0.237,0.822,-1.13,1.213,3.555,2.54,3.39
L_touch_3_in_5d,0.9,7.0,-7.0,5,1974,597.0,0.577,0.577,0.851,2.4,3.95,5.253,3.24
L_touch_3_in_5d,0.9,3.0,none,5,1974,597.0,0.91,0.91,1.862,1.862,1.862,4.203,3.15
L_touch_3_in_5d,0.9,7.0,-4.0,5,1974,597.0,0.328,0.752,-0.555,1.777,4.109,4.009,3.15
L_touch_3_in_5d,0.9,7.0,-5.0,5,1974,597.0,0.419,0.777,-0.212,1.931,4.074,4.466,3.07
L_touch_3_in_5d,0.9,4.0,-3.0,5,1974,597.0,0.237,0.865,-1.345,0.853,3.052,2.095,2.89
L_touch_3_in_5d,0.9,2.5,none,5,1974,597.0,0.924,0.924,1.549,1.549,1.549,3.899,2.82
L_touch_3_in_5d,0.9,5.0,-4.0,5,1974,597.0,0.331,0.833,-1.076,1.186,3.447,3.037,2.77
L_touch_3_in_5d,0.9,2.5,-2.0,5,1974,597.0,0.16,0.917,-1.28,0.423,2.126,1.096,2.74
L_touch_3_in_5d,0.9,5.0,-5.0,5,1974,597.0,0.424,0.424,-0.838,1.266,3.371,3.486,2.58
L_touch_3_in_5d,0.9,3.0,-2.5,5,1974,597.0,0.196,0.899,-1.421,0.511,2.443,1.476,2.46
L_touch_3_in_5d,0.9,2.0,none,5,1974,597.0,0.935,0.935,1.197,1.197,1.197,3.619,2.35
L_touch_3_in_5d,0.9,4.0,-4.0,5,1974,597.0,0.332,0.332,-1.359,0.791,2.941,2.579,2.18
L_touch_3_in_5d,0.9,1.5,none,5,1974,597.0,0.945,0.945,0.832,0.832,0.832,3.34,1.77
L_touch_3_in_5d,0.9,3.0,-3.0,5,1974,597.0,0.238,0.238,-1.574,0.41,2.393,1.697,1.71
L_touch_3_in_5d,0.9,2.5,-2.5,5,1974,597.0,0.197,0.197,-1.517,0.284,2.085,1.291,1.56
L_touch_3_in_5d,0.9,2.0,-2.0,5,1974,597.0,0.16,0.16,-1.36,0.18,1.72,0.942,1.36
L_touch_3_in_7d,0.9,5.0,-2.0,7,4082,1231.0,0.195,0.84,-0.64,1.616,3.873,2.077,4.67
L_touch_3_in_7d,0.9,7.0,-2.0,7,4082,1231.0,0.194,0.746,-0.282,2.202,4.686,2.972,4.45
L_touch_3_in_7d,0.9,4.0,-2.0,7,4082,1231.0,0.195,0.88,-0.83,1.225,3.279,1.667,4.41
L_touch_3_in_7d,0.9,7.0,-2.5,7,4082,1231.0,0.234,0.752,-0.33,2.133,4.595,3.25,3.94
L_touch_3_in_7d,0.9,5.0,-2.5,7,4082,1231.0,0.234,0.841,-0.749,1.526,3.8,2.326,3.93
L_touch_3_in_7d,0.9,7.0,-3.0,7,4082,1231.0,0.279,0.761,-0.288,2.121,4.53,3.526,3.61
L_touch_3_in_7d,0.9,4.0,-2.5,7,4082,1231.0,0.235,0.881,-0.975,1.124,3.222,1.895,3.56
L_touch_3_in_7d,0.9,3.0,-2.0,7,4082,1231.0,0.195,0.91,-1.024,0.764,2.552,1.308,3.5
L_touch_3_in_7d,0.9,5.0,-3.0,7,4082,1231.0,0.28,0.845,-0.772,1.485,3.742,2.577,3.46
L_touch_3_in_7d,0.9,7.0,-4.0,7,4082,1231.0,0.373,0.779,-0.028,2.205,4.438,4.049,3.27
L_touch_3_in_7d,0.9,7.0,none,7,4082,1231.0,0.832,0.832,3.775,3.775,3.775,7.247,3.13
L_touch_3_in_7d,0.9,7.0,-5.0,7,4082,1231.0,0.453,0.798,0.248,2.318,4.387,4.462,3.12
L_touch_3_in_7d,0.9,4.0,-3.0,7,4082,1231.0,0.281,0.882,-1.037,1.066,3.169,2.132,3.0
L_touch_3_in_7d,0.9,7.0,-7.0,7,4082,1231.0,0.579,0.579,0.933,2.581,4.229,5.2,2.98
L_touch_3_in_7d,0.9,5.0,none,7,4082,1231.0,0.877,0.877,2.964,2.964,2.964,6.043,2.94
L_touch_3_in_7d,0.9,5.0,-4.0,7,4082,1231.0,0.376,0.852,-0.651,1.492,3.635,3.06,2.93
L_touch_3_in_7d,0.9,2.5,-2.0,7,4082,1231.0,0.195,0.925,-1.121,0.52,2.16,1.139,2.74
L_touch_3_in_7d,0.9,4.0,none,7,4082,1231.0,0.9,0.9,2.445,2.445,2.445,5.408,2.71
L_touch_3_in_7d,0.9,5.0,-5.0,7,4082,1231.0,0.457,0.457,-0.47,1.545,3.56,3.466,2.67
L_touch_3_in_7d,0.9,3.0,-2.5,7,4082,1231.0,0.235,0.91,-1.207,0.65,2.507,1.515,2.57
L_touch_3_in_7d,0.9,4.0,-4.0,7,4082,1231.0,0.377,0.377,-0.994,1.037,3.069,2.592,2.4
L_touch_3_in_7d,0.9,3.0,none,7,4082,1231.0,0.918,0.918,1.779,1.779,1.779,4.921,2.17
L_touch_3_in_7d,0.9,3.0,-3.0,7,4082,1231.0,0.281,0.281,-1.313,0.576,2.464,1.732,1.99
L_touch_3_in_7d,0.9,2.5,none,7,4082,1231.0,0.929,0.929,1.458,1.458,1.458,4.593,1.91
L_touch_3_in_7d,0.9,2.5,-2.5,7,4082,1231.0,0.235,0.235,-1.324,0.399,2.123,1.335,1.79
L_touch_3_in_7d,0.9,2.0,none,7,4082,1231.0,0.941,0.941,1.166,1.166,1.166,3.958,1.77
L_touch_3_in_7d,0.9,2.0,-2.0,7,4082,1231.0,0.195,0.195,-1.219,0.268,1.754,0.977,1.64
L_touch_3_in_7d,0.9,1.5,none,7,4082,1231.0,0.95,0.95,0.801,0.801,0.801,3.614,1.33
L_touch_7_in_30d,0.9,7.0,-2.0,30,1895,585.0,0.167,0.916,-0.494,2.875,6.245,2.224,3.75
L_touch_7_in_30d,0.9,5.0,-2.0,30,1895,585.0,0.167,0.938,-0.829,1.868,4.564,1.636,3.31
