label,tp,dd,window,base_rate,n_positive,n_total
+5.0_dd-10_30d,5.0,-10.0,30,0.5228,725392,1387464
+3.0_dd-5_14d,3.0,-5.0,14,0.4564,640053,1402316
+3.0_dd-5_7d,3.0,-5.0,7,0.4468,629411,1408813
+5.0_dd-7_30d,5.0,-7.0,30,0.4407,611408,1387464
+3.0_dd-5_30d,3.0,-5.0,30,0.3836,532291,1387464
+5.0_dd-5_14d,5.0,-5.0,14,0.3633,509470,1402316
+3.0_dd-3_7d,3.0,-3.0,7,0.3573,503378,1408813
+5.0_dd-5_30d,5.0,-5.0,30,0.356,493925,1387464
+3.0_dd-3_14d,3.0,-3.0,14,0.3292,461679,1402316
+7.0_dd-5_30d,7.0,-5.0,30,0.3159,438264,1387464
+3.0_dd-3_30d,3.0,-3.0,30,0.2511,348352,1387464
+10.0_dd-5_30d,10.0,-5.0,30,0.248,344089,1387464
+5.0_dd-3_30d,5.0,-3.0,30,0.2405,333722,1387464
