n,wr,avg_pnl,worst_pnl,worst_dd,sharpe,period,is_crisis,combo
12,1.0,2.0,2.0,-4.45,0.0,Normal-2026,False,v20_t0.80
7880,1.0,2.0,2.0,-9.85,0.0,Normal-2026,False,v21_t0.80
4625,1.0,2.0,2.0,-9.85,0.0,Normal-2026,False,v21_t0.85
130,1.0,2.0,2.0,-5.39,0.0,Normal-2026,False,v21_t0.90
26,1.0,2.0,2.0,-1.97,0.0,Normal-2026,False,avg73_t0.80
86,1.0,2.0,2.0,-4.36,0.0,Normal-2026,False,avg55_t0.80
71,1.0,2.0,2.0,-4.36,0.0,Normal-2026,False,maj_at075
2686,0.648,-0.771,-23.49,-23.63,-1.04,RussiaUkraine22,True,v20_t0.80
1116,0.574,-1.412,-21.38,-23.15,-1.78,RussiaUkraine22,True,v20_t0.85
74,0.554,-2.089,-14.94,-15.49,-2.37,RussiaUkraine22,True,v20_t0.90
171,1.0,2.0,2.0,-7.46,0.0,RussiaUkraine22,True,avg73_t0.80
24,0.792,0.364,-9.51,-14.67,0.63,RussiaUkraine22,True,maj_at075
2425,1.0,2.0,2.0,-9.8,0.0,RateHike22,True,v21_t0.80
193,1.0,2.0,2.0,-9.3,0.0,RateHike22,True,v21_t0.85
137,1.0,2.0,2.0,-4.31,0.0,RateHike22,True,maj_at075
21861,1.0,2.0,2.0,-16.56,0.0,IsraelHamas23,True,v21_t0.80
20474,1.0,2.0,2.0,-9.8,0.0,IsraelHamas23,True,v21_t0.85
14893,1.0,2.0,2.0,-9.8,0.0,IsraelHamas23,True,v21_t0.90
164,1.0,2.0,2.0,-9.04,0.0,IsraelHamas23,True,avg55_t0.80
5,1.0,2.0,2.0,-3.18,0.0,IsraelHamas23,True,maj_at075
11383,1.0,2.0,2.0,-9.94,0.0,IranIsraelApr24,True,v21_t0.80
6577,1.0,2.0,2.0,-9.64,0.0,IranIsraelApr24,True,v21_t0.85
698,1.0,2.0,2.0,-8.21,0.0,IranIsraelApr24,True,v21_t0.90
7,1.0,2.0,2.0,-4.08,0.0,IranIsraelApr24,True,avg55_t0.80
280,1.0,2.0,2.0,-7.06,0.0,IranIsraelApr24,True,maj_at075
14544,1.0,2.0,2.0,-21.01,0.0,IranIsraelOct24,True,v21_t0.80
10128,1.0,2.0,2.0,-9.92,0.0,IranIsraelOct24,True,v21_t0.85
287,1.0,2.0,2.0,-7.95,0.0,IranIsraelOct24,True,v21_t0.90
