n,wr,avg_pnl,worst_pnl,worst_dd,sharpe,period,is_crisis,combo
96,1.0,1.995,1.48,-95.91,225.78,Normal-2026,False,v20_t075
1033,0.523,-0.667,-13.39,-14.17,-1.27,Normal-2026,False,v21_t075
34,0.324,-1.735,-8.32,-10.92,-3.33,Normal-2026,False,v22_t075
11,0.909,1.572,-2.71,-4.6,6.97,Normal-2026,False,avg73_t075
9,0.556,-0.178,-5.13,-6.76,-0.46,Normal-2026,False,avg55_t075
11,0.545,0.506,-2.71,-5.25,1.76,Normal-2026,False,avg333_t075
26,0.385,-0.979,-7.03,-8.16,-2.14,Normal-2026,False,maj2of3_75
4398,0.669,-0.589,-30.32,-32.7,-0.8,RussiaUkr22,True,v20_t075
1116,0.574,-1.412,-21.38,-23.15,-1.78,RussiaUkr22,True,v20_t085
74,0.554,-2.089,-14.94,-15.49,-2.37,RussiaUkr22,True,v20_t090
302,0.626,0.016,-14.51,-15.77,0.03,RussiaUkr22,True,v21_t075
20,0.7,-0.216,-9.51,-14.67,-0.34,RussiaUkr22,True,v22_t075
1830,0.609,-0.885,-21.76,-22.49,-1.22,RussiaUkr22,True,avg73_t075
14,0.714,0.01,-9.77,-10.23,0.02,RussiaUkr22,True,avg73_t085
767,0.66,-0.178,-16.7,-17.6,-0.3,RussiaUkr22,True,avg55_t075
226,0.664,0.214,-10.23,-15.4,0.45,RussiaUkr22,True,avg333_t075
211,0.682,0.319,-14.51,-15.77,0.67,RussiaUkr22,True,AND_v20_v21_75
19,0.737,-0.067,-9.51,-14.67,-0.11,RussiaUkr22,True,AND_v20_v22_75
230,0.687,0.28,-14.51,-15.77,0.56,RussiaUkr22,True,maj2of3_75
214,0.897,1.421,-9.5,-13.31,4.79,RateHike22,True,v20_t075
19,0.579,-0.011,-4.46,-6.03,-0.03,Israel23,True,v20_t075
158,0.873,1.281,-10.8,-11.4,3.52,Israel23,True,v21_t075
117,0.248,-2.57,-13.94,-19.99,-4.73,IranApr24,True,v20_t075
2513,0.55,-0.665,-21.21,-22.11,-1.14,IranApr24,True,v21_t075
53,0.642,-0.243,-11.88,-13.27,-0.44,IranApr24,True,v21_t085
600,0.702,0.134,-16.79,-18.71,0.24,IranApr24,True,v22_t075
227,0.22,-2.944,-21.21,-22.11,-4.87,IranApr24,True,avg73_t075
321,0.252,-2.665,-21.21,-22.11,-4.41,IranApr24,True,avg55_t075
25,0.52,-1.106,-9.44,-10.51,-1.89,IranApr24,True,avg333_t075
107,0.252,-2.566,-13.94,-19.99,-4.75,IranApr24,True,AND_v20_v21_75
600,0.585,-0.587,-16.79,-19.99,-0.96,IranApr24,True,maj2of3_75
22,0.818,0.602,-9.82,-10.3,1.11,IranOct24,True,v21_t075
