combo,n_total,avg_wr,avg_ev,worst_pnl,avg_sharpe,n,wr,ev,worst,sharpe,quality
avg333_t075,251,0.592,-0.446,-10.23,-0.72,11.0,0.545,0.506,-2.71,1.76,0.6116999999999999
v20_t075,4748,0.598,-0.437,-30.32,-0.192,96.0,1.0,1.995,1.48,225.78,0.591
avg73_t075,2057,0.414,-1.914,-21.76,-3.045,11.0,0.909,1.572,-2.71,6.97,0.5522
maj2of3_75,830,0.636,-0.153,-16.79,-0.2,26.0,0.385,-0.979,-7.03,-2.14,0.46810000000000007
v22_t075,620,0.701,-0.041,-16.79,-0.05,34.0,0.324,-1.735,-8.32,-3.33,0.45640000000000003
avg55_t075,1088,0.456,-1.422,-21.21,-2.355,9.0,0.556,-0.178,-5.13,-0.46,0.44020000000000004
v21_t075,2995,0.717,0.308,-21.21,0.88,1033.0,0.523,-0.667,-13.39,-1.27,0.426
AND_v20_v22_75,19,0.737,-0.067,-9.51,-0.11,0.0,,,,,0.32599999999999996
avg73_t085,14,0.714,0.01,-9.77,0.02,0.0,,,,,0.3165
v21_t085,53,0.642,-0.243,-11.88,-0.44,0.0,,,,,0.2738
v20_t090,74,0.554,-2.089,-14.94,-2.37,0.0,,,,,0.21680000000000002
AND_v20_v21_75,318,0.467,-1.124,-14.51,-2.04,0.0,,,,,0.195
v20_t085,1116,0.574,-1.412,-21.38,-1.78,0.0,,,,,0.1584
