thr,n,n_per_year,wr_label,wr_pnl,avg_pnl,worst_pnl,avg_dd,worst_dd,p5_dd,p10_dd,pct_dd_safe_3,pct_dd_safe_5,pct_dd_safe_10,sharpe,label,auc
0.5,879,1802,0.438,0.684,1.914,-15.71,-3.29,-16.6,-8.44,-7.28,0.531,0.75,0.973,1.35,+5_dd3_30d,0.622
0.6,25,51,0.28,0.48,0.807,-3.46,-3.29,-7.15,-6.75,-6.06,0.48,0.64,1.0,0.74,+5_dd3_30d,0.622
0.5,7850,16097,0.55,0.762,2.398,-45.98,-4.29,-52.79,-11.95,-9.31,0.449,0.664,0.917,1.52,+5_dd5_30d,0.618
0.6,2021,4144,0.573,0.744,2.441,-20.25,-3.47,-20.4,-9.29,-7.64,0.518,0.74,0.961,1.75,+5_dd5_30d,0.618
0.7,53,109,0.566,0.755,2.775,-7.08,-3.22,-8.5,-7.76,-7.3,0.547,0.736,1.0,2.27,+5_dd5_30d,0.618
0.5,1178,2416,0.425,0.728,1.084,-11.34,-3.89,-18.8,-9.02,-7.72,0.436,0.678,0.969,0.97,+3_dd3_30d,0.642
0.6,36,74,0.333,0.611,0.602,-6.9,-4.17,-12.36,-8.05,-7.66,0.333,0.611,0.972,0.54,+3_dd3_30d,0.642
0.5,16983,34825,0.59,0.808,1.323,-47.39,-4.65,-52.93,-12.76,-10.02,0.42,0.629,0.9,1.01,+3_dd5_30d,0.653
0.6,4495,9217,0.632,0.8,1.45,-22.5,-3.98,-49.53,-10.4,-8.25,0.459,0.689,0.945,1.27,+3_dd5_30d,0.653
0.7,671,1376,0.672,0.785,1.57,-9.54,-3.25,-12.36,-7.94,-6.82,0.507,0.739,0.987,1.65,+3_dd5_30d,0.653
0.75,119,244,0.681,0.832,1.955,-5.38,-3.14,-9.99,-7.6,-6.91,0.529,0.723,1.0,2.5,+3_dd5_30d,0.653
0.5,26194,53712,0.537,0.722,1.513,-51.02,-6.07,-58.91,-16.58,-13.21,0.34,0.524,0.811,0.73,+5_dd7_30d,0.602
0.6,8096,16601,0.624,0.781,2.493,-39.59,-4.57,-58.91,-12.88,-10.15,0.441,0.649,0.897,1.52,+5_dd7_30d,0.602
0.7,1671,3426,0.711,0.825,3.216,-20.25,-3.16,-21.34,-9.42,-7.64,0.577,0.777,0.958,2.56,+5_dd7_30d,0.602
0.75,263,539,0.673,0.776,2.838,-11.13,-2.93,-13.81,-8.35,-6.95,0.582,0.783,0.973,2.25,+5_dd7_30d,0.602
