thr,n,n_per_year,wr_pnl,avg_pnl,worst_pnl,avg_dd,worst_dd,p5_dd,pct_safe_3,pct_safe_5,sharpe,label,auc,base_rate
0.5,18652,38247,0.722,0.501,-52.14,-2.43,-58.67,-7.61,0.688,0.863,1.63,+2_dd3_3d,0.591,0.415
0.6,2173,4456,0.829,1.07,-29.07,-1.6,-30.04,-6.62,0.794,0.916,4.25,+2_dd3_3d,0.591,0.415
0.5,51094,104771,0.695,0.154,-57.89,-3.25,-60.08,-9.8,0.577,0.774,0.43,+2_dd5_3d,0.623,0.477
0.6,13108,26879,0.76,0.528,-57.89,-2.77,-60.08,-8.81,0.635,0.816,1.52,+2_dd5_3d,0.623,0.477
0.7,1091,2237,0.916,1.57,-13.65,-1.69,-14.18,-7.76,0.743,0.875,9.22,+2_dd5_3d,0.623,0.477
0.5,2998,6148,0.819,1.733,-16.03,-2.0,-25.0,-7.82,0.721,0.863,5.95,+3_dd3_3d,0.648,0.298
0.6,290,595,0.893,2.229,-10.72,-1.98,-14.16,-8.08,0.693,0.841,9.49,+3_dd3_3d,0.648,0.298
0.5,13143,26951,0.731,0.812,-54.01,-3.41,-58.67,-11.13,0.562,0.741,1.86,+3_dd5_3d,0.683,0.338
0.6,1716,3519,0.88,2.126,-27.14,-2.06,-27.58,-8.55,0.691,0.825,7.94,+3_dd5_3d,0.683,0.338
0.7,161,330,0.95,2.606,-8.82,-1.35,-14.16,-7.54,0.776,0.901,14.23,+3_dd5_3d,0.683,0.338
0.5,18564,38067,0.739,0.563,-29.04,-2.61,-48.45,-7.77,0.67,0.85,1.47,+2_dd3_5d,0.581,0.43
0.6,4753,9746,0.866,1.246,-28.35,-1.9,-31.54,-6.78,0.769,0.901,4.2,+2_dd3_5d,0.581,0.43
0.7,196,402,0.898,1.098,-22.07,-2.11,-27.59,-8.88,0.74,0.883,2.44,+2_dd3_5d,0.581,0.43
0.5,65897,135126,0.715,0.204,-57.71,-3.55,-60.53,-10.47,0.547,0.749,0.43,+2_dd5_5d,0.592,0.527
0.6,20116,41249,0.769,0.586,-55.17,-3.07,-60.53,-9.52,0.615,0.796,1.37,+2_dd5_5d,0.592,0.527
0.7,3525,7228,0.864,1.17,-28.35,-2.31,-47.95,-7.96,0.708,0.86,3.53,+2_dd5_5d,0.592,0.527
0.75,910,1866,0.879,1.279,-22.07,-2.14,-27.59,-8.04,0.723,0.859,3.99,+2_dd5_5d,0.592,0.527
0.8,49,100,0.959,1.815,-4.1,-0.95,-8.36,-4.06,0.898,0.959,13.41,+2_dd5_5d,0.592,0.527
0.5,7496,15371,0.779,1.346,-48.75,-2.55,-48.98,-8.26,0.683,0.84,2.96,+3_dd3_5d,0.587,0.345
0.6,909,1864,0.857,1.917,-11.54,-2.19,-14.88,-7.14,0.711,0.875,5.92,+3_dd3_5d,0.587,0.345
0.5,24439,50114,0.714,0.659,-57.71,-3.77,-60.53,-11.84,0.538,0.72,1.12,+3_dd5_5d,0.622,0.413
0.6,4421,9066,0.849,1.796,-48.75,-2.54,-48.98,-8.83,0.669,0.822,4.18,+3_dd5_5d,0.622,0.413
0.7,92,189,0.946,2.588,-7.25,-1.7,-11.05,-7.28,0.761,0.859,10.86,+3_dd5_5d,0.622,0.413
0.5,2418,4958,0.767,2.104,-62.28,-3.85,-62.67,-12.52,0.526,0.684,2.85,+5_dd5_5d,0.7,0.245
0.6,99,203,0.828,3.02,-20.36,-3.18,-22.45,-12.09,0.475,0.727,4.97,+5_dd5_5d,0.7,0.245
0.5,19367,39713,0.754,0.576,-26.77,-2.84,-49.1,-8.14,0.632,0.83,1.24,+2_dd3_7d,0.593,0.417
0.6,5046,10347,0.803,0.884,-22.35,-2.33,-27.59,-7.36,0.708,0.869,2.17,+2_dd3_7d,0.593,0.417
0.7,814,1669,0.878,1.361,-14.4,-2.08,-24.35,-6.37,0.736,0.912,4.53,+2_dd3_7d,0.593,0.417
0.75,57,117,0.93,1.777,-2.27,-1.41,-24.35,-3.68,0.86,0.982,12.97,+2_dd3_7d,0.593,0.417
0.5,8232,16880,0.782,1.383,-34.51,-2.61,-34.81,-8.42,0.671,0.84,2.65,+3_dd3_7d,0.576,0.357
0.6,1436,2945,0.875,2.079,-14.93,-2.01,-24.35,-6.65,0.748,0.902,5.57,+3_dd3_7d,0.576,0.357
0.5,24685,50618,0.717,0.641,-58.45,-3.92,-60.61,-11.98,0.525,0.711,0.9,+3_dd5_7d,0.587,0.447
0.6,4397,9016,0.822,1.546,-29.8,-2.65,-47.95,-9.35,0.663,0.819,2.81,+3_dd5_7d,0.587,0.447
0.7,394,808,0.937,2.558,-8.97,-1.85,-13.25,-7.1,0.751,0.893,9.48,+3_dd5_7d,0.587,0.447
0.5,5395,11063,0.748,2.002,-30.42,-3.98,-31.15,-12.66,0.522,0.694,2.39,+5_dd5_7d,0.648,0.293
0.6,776,1591,0.867,3.44,-20.67,-2.9,-24.3,-11.0,0.633,0.785,5.89,+5_dd5_7d,0.648,0.293
0.7,93,191,0.946,4.306,-7.48,-2.11,-13.61,-7.1,0.72,0.892,12.79,+5_dd5_7d,0.648,0.293
