strategy,accum,rsi,ma20,ma50,trades,avg_return,hold_days,losers,mom10,dist_high,atr
basic,1.3,57,-3.0,4.0,40,6.174742191635094,21,0,,,
basic,1.3,57,-2.0,4.0,40,6.174742191635094,21,0,,,
basic,1.3,57,-1.0,4.0,40,6.174742191635094,21,0,,,
basic,1.3,55,-3.0,4.0,29,6.24659259622214,21,0,,,
basic,1.3,55,-2.0,4.0,29,6.24659259622214,21,0,,,
basic,1.3,55,-1.0,4.0,29,6.24659259622214,21,0,,,
basic,1.2,52,-3.0,0.0,26,3.747034050185422,7,0,,,
basic,1.2,52,-3.0,2.0,26,3.747034050185422,7,0,,,
basic,1.2,52,-2.0,0.0,26,3.747034050185422,7,0,,,
basic,1.2,52,-2.0,2.0,26,3.747034050185422,7,0,,,
basic,1.2,52,-1.0,0.0,26,3.747034050185422,7,0,,,
basic,1.2,52,-1.0,2.0,26,3.747034050185422,7,0,,,
basic,1.3,52,-3.0,0.0,26,3.747034050185422,7,0,,,
basic,1.3,52,-3.0,2.0,26,3.747034050185422,7,0,,,
basic,1.3,52,-2.0,0.0,26,3.747034050185422,7,0,,,
basic,1.3,52,-2.0,2.0,26,3.747034050185422,7,0,,,
basic,1.3,52,-1.0,0.0,26,3.747034050185422,7,0,,,
basic,1.3,52,-1.0,2.0,26,3.747034050185422,7,0,,,
basic,1.4,52,-3.0,0.0,26,3.747034050185422,7,0,,,
basic,1.4,52,-3.0,2.0,26,3.747034050185422,7,0,,,
basic,1.4,52,-2.0,0.0,26,3.747034050185422,7,0,,,
basic,1.4,52,-2.0,2.0,26,3.747034050185422,7,0,,,
basic,1.4,52,-1.0,0.0,26,3.747034050185422,7,0,,,
basic,1.4,52,-1.0,2.0,26,3.747034050185422,7,0,,,
basic,1.5,52,-3.0,0.0,26,3.747034050185422,7,0,,,
basic,1.5,52,-3.0,2.0,26,3.747034050185422,7,0,,,
basic,1.5,52,-2.0,0.0,26,3.747034050185422,7,0,,,
basic,1.5,52,-2.0,2.0,26,3.747034050185422,7,0,,,
basic,1.5,52,-1.0,0.0,26,3.747034050185422,7,0,,,
basic,1.5,52,-1.0,2.0,26,3.747034050185422,7,0,,,
basic,1.2,52,-3.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.2,52,-3.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.2,52,-2.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.2,52,-2.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.2,52,-1.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.2,52,-1.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.3,52,-3.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.3,52,-3.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.3,52,-2.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.3,52,-2.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.3,52,-1.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.3,52,-1.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.4,52,-3.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.4,52,-3.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.4,52,-2.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.4,52,-2.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.4,52,-1.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.4,52,-1.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.5,52,-3.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.5,52,-3.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.5,52,-2.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.5,52,-2.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.5,52,-1.0,0.0,26,2.8457315722780625,5,0,,,
basic,1.5,52,-1.0,2.0,26,2.8457315722780625,5,0,,,
basic,1.3,57,0.0,4.0,21,6.38305761551036,21,0,,,
basic,1.4,57,-3.0,4.0,21,5.31221131944463,21,0,,,
basic,1.4,57,-2.0,4.0,21,5.31221131944463,21,0,,,
basic,1.4,57,-1.0,4.0,21,5.31221131944463,21,0,,,
basic,1.3,57,-3.0,6.0,16,6.912436826782413,21,0,,,
basic,1.3,57,-3.0,8.0,16,6.912436826782413,21,0,,,
basic,1.3,57,-2.0,6.0,16,6.912436826782413,21,0,,,
basic,1.3,57,-2.0,8.0,16,6.912436826782413,21,0,,,
basic,1.3,57,-1.0,6.0,16,6.912436826782413,21,0,,,
basic,1.3,57,-1.0,8.0,16,6.912436826782413,21,0,,,
basic,1.3,60,-3.0,8.0,16,6.912436826782413,21,0,,,
basic,1.3,60,-2.0,8.0,16,6.912436826782413,21,0,,,
basic,1.3,60,-1.0,8.0,16,6.912436826782413,21,0,,,
basic,1.2,55,-3.0,8.0,14,6.993185940292909,21,0,,,
basic,1.2,55,-2.0,8.0,14,6.993185940292909,21,0,,,
basic,1.2,55,-1.0,8.0,14,6.993185940292909,21,0,,,
basic,1.3,55,-3.0,6.0,14,6.993185940292909,21,0,,,
basic,1.3,55,-3.0,8.0,14,6.993185940292909,21,0,,,
basic,1.3,55,-2.0,6.0,14,6.993185940292909,21,0,,,
basic,1.3,55,-2.0,8.0,14,6.993185940292909,21,0,,,
basic,1.3,55,-1.0,6.0,14,6.993185940292909,21,0,,,
basic,1.3,55,-1.0,8.0,14,6.993185940292909,21,0,,,
basic,1.3,57,1.0,4.0,14,6.730782983195327,21,0,,,
basic,1.4,57,0.0,4.0,14,6.730782983195327,21,0,,,
basic,1.4,57,1.0,4.0,14,6.730782983195327,21,0,,,
basic,1.6,52,-3.0,0.0,14,2.6331342209743474,7,0,,,
basic,1.6,52,-3.0,2.0,14,2.6331342209743474,7,0,,,
basic,1.6,52,-2.0,0.0,14,2.6331342209743474,7,0,,,
basic,1.6,52,-2.0,2.0,14,2.6331342209743474,7,0,,,
basic,1.6,52,-1.0,0.0,14,2.6331342209743474,7,0,,,
basic,1.6,52,-1.0,2.0,14,2.6331342209743474,7,0,,,
breakout,1.2,55,,,14,2.206801190456828,7,0,,-3.0,
basic,1.6,52,-3.0,0.0,14,1.9442057168477016,5,0,,,
basic,1.6,52,-3.0,2.0,14,1.9442057168477016,5,0,,,
basic,1.6,52,-2.0,0.0,14,1.9442057168477016,5,0,,,
basic,1.6,52,-2.0,2.0,14,1.9442057168477016,5,0,,,
basic,1.6,52,-1.0,0.0,14,1.9442057168477016,5,0,,,
basic,1.6,52,-1.0,2.0,14,1.9442057168477016,5,0,,,
basic,1.2,52,-3.0,0.0,14,1.4032087826646742,14,0,,,
