hold_days,accum_min,rsi_max,ma20_min,ma50_min,mom_min,trades,winners,losers,avg_return,total_return,loser_rate
14,1.5,57,0,5,5,28,28,0,5.296074380730538,148.29008266045506,0
7,1.5,50,0,0,-2,21,21,0,3.427751606959722,71.98278374615415,0
7,1.5,50,0,0,0,21,21,0,3.427751606959722,71.98278374615415,0
14,1.5,57,1,5,-2,17,17,0,5.3989194334366974,91.78163036842386,0
14,1.5,57,1,5,0,17,17,0,5.3989194334366974,91.78163036842386,0
14,1.5,57,1,5,2,17,17,0,5.3989194334366974,91.78163036842386,0
14,1.5,57,1,5,5,17,17,0,5.3989194334366974,91.78163036842386,0
7,1.5,50,0,0,2,15,15,0,3.327127038741838,49.906905581127575,0
7,1.5,52,0,0,2,15,15,0,3.327127038741838,49.906905581127575,0
10,1.5,50,0,0,-2,12,12,0,4.300787612659114,51.60945135190937,0
10,1.5,50,0,0,0,12,12,0,4.300787612659114,51.60945135190937,0
10,1.5,50,1,0,-2,12,12,0,4.300787612659114,51.60945135190937,0
10,1.5,50,1,0,0,12,12,0,4.300787612659114,51.60945135190937,0
10,1.5,52,1,0,-2,12,12,0,4.300787612659114,51.60945135190937,0
10,1.5,52,1,0,0,12,12,0,4.300787612659114,51.60945135190937,0
7,1.5,50,1,0,-2,12,12,0,2.213627423980756,26.563529087769073,0
7,1.5,50,1,0,0,12,12,0,2.213627423980756,26.563529087769073,0
30,1.8,57,0,5,-2,11,11,0,16.50677710046704,181.57454810513744,0
30,1.8,57,0,5,0,11,11,0,16.50677710046704,181.57454810513744,0
21,1.5,55,0,5,5,11,11,0,11.471820031174467,126.19002034291913,0
14,1.5,55,0,5,5,11,11,0,5.137132026548292,56.50845229203121,0
21,1.5,52,0,-5,-2,11,11,0,3.598082377401039,39.57890615141143,0
21,1.5,52,0,-5,0,11,11,0,3.598082377401039,39.57890615141143,0
21,1.5,52,0,0,-2,11,11,0,3.598082377401039,39.57890615141143,0
21,1.5,52,0,0,0,11,11,0,3.598082377401039,39.57890615141143,0
10,1.5,55,0,5,5,11,11,0,3.4594140642856472,38.05355470714212,0
7,1.5,55,0,5,5,11,11,0,2.0306938124917853,22.33763193740964,0
14,1.7,57,0,5,2,10,10,0,11.935801906623176,119.35801906623176,0
14,1.7,57,0,5,5,10,10,0,11.935801906623176,119.35801906623176,0
